,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before refit),Chi2,Chi2/NDF (before refit),Chi2/NDF
0,1,0.0330,a1,{'a1': 0.033},"{'a1': (0.033, 0, 0)}",{},1.0*(a1),8.085,-0.2584,169,4002.0,4002.0,23.68,23.68
1,3,0.0044**x0,a1**x0,{'a1': 0.0044},"{'a1': (0.0044, 0, 0)}",{},1.0*(a1**((x0 - 503.0) * 0.000286615)),7.724,-0.1486,169,3420.0,3420.0,20.24,20.24
2,4,0.00431**x0,a1**x0,{'a1': 0.00431},"{'a1': (0.00431, 0, 0)}",{},1.0*(a1**((x0 - 503.0) * 0.000286615)),7.724,-0.1487,169,3420.0,3420.0,20.24,20.24
3,5,0.000343**(x0 - 0.244),a2**(a1 + x0),"{'a1': -0.244, 'a2': 0.000343}","{'a1': (-0.232731, 0.0103, -0.0103), 'a2': (0.000343, 0, 0)}",{},1.0*(a2**(a1 + ((x0 - 503.0) * 0.000286615))),5.943,0.32,168,2159.0,2142.0,12.85,12.75
4,6,31.6*exp(-22.7*x0),a2*exp(a1*x0),"{'a1': -22.7, 'a2': 31.6}","{'a1': (-21.8773, 0.358898, -0.366459), 'a2': (30.0308, 0.584561, -0.579068)}","{'a1, a2': -0.7288}",1.0*(a2*exp(a1*((x0 - 503.0) * 0.000286615))),0.8116,0.9873,167,107.9,103.4,0.646,0.6193
5,7,0.0614**(7.87*x0 - 1.22),a2**(a1 + a3*x0),"{'a1': -1.22, 'a2': 0.0614, 'a3': 7.87}","{'a1': (-1.22, 0, 0), 'a2': (0.0615005, 0.00098957, -0.000964031), 'a3': (7.84499, 0.101509, -0.0991892)}","{'a2, a3': -0.4769}",1.0*(a2**(a1 + a3*((x0 - 503.0) * 0.000286615))),0.8116,0.9873,167,103.5,103.4,0.6195,0.6193
6,8,0.0511**(7.4*tanh(x0) - 1.15),a2**(a1 + a3*tanh(x0)),"{'a1': -1.15, 'a2': 0.0511, 'a3': 7.4}","{'a1': (-1.15, 0, 0), 'a2': (0.0517897, 0.000860473, -0.000838557), 'a3': (7.42539, 0.092768, -0.0904823)}","{'a2, a3': -0.4735}",1.0*(a2**(a1 + a3*tanh(((x0 - 503.0) * 0.000286615)))),0.8042,0.9875,167,99.62,98.79,0.5966,0.5915
7,9,2.54e-10**(tanh(x0) - 0.154),a2**(a1 + tanh(x0)),"{'a1': -0.154, 'a2': 2.54e-10}","{'a1': (-0.154874, 0.00175, -0.00175), 'a2': (2.83641e-10, 9.08e-11, -9.08e-11)}","{'a1, a2': -0.9512}",1.0*(a2**(a1 + tanh(((x0 - 503.0) * 0.000286615)))),0.8042,0.9875,167,99.02,98.79,0.5929,0.5915
8,10,(3.99e-10*exp(11.4*x0))**(x0 - 0.159),(a2*exp(a3*x0))**(a1 + x0),"{'a1': -0.159, 'a2': 3.99e-10, 'a3': 11.4}","{'a1': (-0.159631, 0.00161, -0.00161), 'a2': (4.13294e-10, 1.14e-10, -1.14e-10), 'a3': (16.7538, 0.875, -0.875)}","{'a1, a2': -0.9482, 'a1, a3': 0.291, 'a2, a3': -0.3767}",1.0*((a2*exp(a3*((x0 - 503.0) * 0.000286615)))**(a1 + ((x0 - 503.0) * 0.000286615))),0.7103,0.9903,166,81.66,73.18,0.4919,0.4408
9,11,1.14e-5**x0/(x0**1.17 + 0.031),a1**x0/(a2 + x0**a3),"{'a1': 1.14e-05, 'a2': 0.031, 'a3': 1.17}","{'a1': (1.23608e-05, 4.3388e-06, -3.351e-06), 'a2': (0.0303621, 0.000669047, -0.000656528), 'a3': (1.16175, 0.0213548, -0.0200576)}","{'a1, a2': -0.4051, 'a1, a3': -0.8137, 'a2, a3': 0.7049}",1.0*(a1**((x0 - 503.0) * 0.000286615)/(a2 + ((x0 - 503.0) * 0.000286615)**a3)),0.6831,0.991,166,66.28,65.83,0.3993,0.3966
10,12,1.14e-5**x0/(x0**1.17 + 0.031),a1**x0/(a2 + x0**a3),"{'a1': 1.14e-05, 'a2': 0.031, 'a3': 1.17}","{'a1': (1.23608e-05, 4.3388e-06, -3.351e-06), 'a2': (0.0303621, 0.000669047, -0.000656528), 'a3': (1.16175, 0.0213548, -0.0200576)}","{'a1, a2': -0.4051, 'a1, a3': -0.8137, 'a2, a3': 0.7049}",1.0*(a1**((x0 - 503.0) * 0.000286615)/(a2 + ((x0 - 503.0) * 0.000286615)**a3)),0.6831,0.991,166,66.28,65.83,0.3993,0.3966
