,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before refit),Chi2,Chi2/NDF (before refit),Chi2/NDF
0,1,0.0234,a1,{'a1': 0.0234},"{'a1': (0.0234, 0, 0)}",{},1.0*(a1),8.911,-0.3049,139,3836.0,3836.0,27.6,27.6
1,3,0.00287**x0,a1**x0,{'a1': 0.00287},"{'a1': (0.00287, 0, 0)}",{},1.0*(a1**((x0 - 503.0) * 0.000286615)),8.518,-0.1923,139,3359.0,3359.0,24.17,24.17
2,5,0.0006**(x0 - 0.256),a2**(a1 + x0),"{'a1': -0.256, 'a2': 0.0006}","{'a1': (-0.260206, 0.0127, -0.0127), 'a2': (0.0006, 0, 0)}",{},1.0*(a2**(a1 + ((x0 - 503.0) * 0.000286615))),6.351,0.3373,138,2111.0,2110.0,15.3,15.29
3,6,0.0006**(x0 - 0.258),a2**(a1 + x0),"{'a1': -0.258, 'a2': 0.0006}","{'a1': (-0.260206, 0.0126, -0.0126), 'a2': (0.0006, 0, 0)}",{},1.0*(a2**(a1 + ((x0 - 503.0) * 0.000286615))),6.351,0.3373,138,2110.0,2110.0,15.29,15.29
4,7,0.0499**(7.66*x0 - 1.15),a2**(a1 + a3*x0),"{'a1': -1.15, 'a2': 0.0499, 'a3': 7.66}","{'a1': (-1.15, 0, 0), 'a2': (0.050531, 0.000821272, -0.000799392), 'a3': (7.65409, 0.108654, -0.107006)}","{'a2, a3': -0.557}",1.0*(a2**(a1 + a3*((x0 - 503.0) * 0.000286615))),0.7981,0.9895,137,70.17,69.71,0.5122,0.5089
5,8,0.0432**(7.33*tanh(x0) - 1.09),a2**(a1 + a3*tanh(x0)),"{'a1': -1.09, 'a2': 0.0432, 'a3': 7.33}","{'a1': (-1.09, 0, 0), 'a2': (0.0428641, 0.000720781, -0.000701611), 'a3': (7.26619, 0.100624, -0.0990196)}","{'a2, a3': -0.556}",1.0*(a2**(a1 + a3*tanh(((x0 - 503.0) * 0.000286615)))),0.7972,0.9896,137,68.08,67.33,0.4969,0.4914
6,10,0.0355**(3.47*tanh(2*x0) - 1.03),a2**(a1 + a3*tanh(2*x0)),"{'a1': -1.03, 'a2': 0.0355, 'a3': 3.47}","{'a1': (-1.03, 0, 0), 'a2': (0.0355928, 0.000585029, -0.00057101), 'a3': (3.45568, 0.0432996, -0.0424735)}","{'a2, a3': -0.5389}",1.0*(a2**(a1 + a3*tanh(2*((x0 - 503.0) * 0.000286615)))),0.7911,0.9897,137,59.42,59.37,0.4337,0.4334
7,11,(0.148*x0 + 0.023)**(5.72*x0 - 0.928),(a2 + a3*x0)**(a1 + a4*x0),"{'a1': -0.928, 'a2': 0.023, 'a3': 0.148, 'a4': 5.72}","{'a1': (-0.928, 0, 0), 'a2': (0.0229248, 0.000436868, -0.000426033), 'a3': (0.164312, 0.0172786, -0.0178468), 'a4': (5.64858, 0.0745588, -0.0710383)}","{'a2, a3': -0.5203, 'a2, a4': -0.1012, 'a3, a4': -0.4619}",1.0*((a2 + a3*((x0 - 503.0) * 0.000286615))**(a1 + a4*((x0 - 503.0) * 0.000286615))),0.7515,0.9907,136,47.19,46.79,0.347,0.344
8,12,(0.148*tanh(x0) + 0.023)**(5.72*x0 - 0.928),(a2 + a3*tanh(x0))**(a1 + a4*x0),"{'a1': -0.928, 'a2': 0.023, 'a3': 0.148, 'a4': 5.72}","{'a1': (-0.928, 0, 0), 'a2': (0.0228978, 0.000439021, -0.000428155), 'a3': (0.167928, 0.0179254, -0.018473), 'a4': (5.63594, 0.0758816, -0.0722131)}","{'a2, a3': -0.5261, 'a2, a4': -0.08164, 'a3, a4': -0.4818}",1.0*((a2 + a3*tanh(((x0 - 503.0) * 0.000286615)))**(a1 + a4*((x0 - 503.0) * 0.000286615))),0.7526,0.9907,136,47.41,46.87,0.3486,0.3447
9,13,(0.155*tanh(x0 + 0.155))**(5.78*x0 - 0.937),(a2*tanh(a2 + x0))**(a1 + a3*x0),"{'a1': -0.937, 'a2': 0.155, 'a3': 5.78}","{'a1': (-0.790326, 0.117, -0.117), 'a2': (0.109026, 0.0368, -0.0368), 'a3': (4.78654, 0.757, -0.757)}","{'a1, a2': -0.9983, 'a1, a3': -0.9945, 'a2, a3': 0.9968}",1.0*((a2*tanh(a2 + ((x0 - 503.0) * 0.000286615)))**(a1 + a3*((x0 - 503.0) * 0.000286615))),0.756,0.9906,136,47.67,47.14,0.3505,0.3466
