,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before refit),Chi2,Chi2/NDF (before refit),Chi2/NDF
0,1,0.000620,a1,{'a1': 0.00062},"{'a1': (0.00062, 0, 0)}",{},38458.1*(a1),72030.0,-0.398,29,1115000.0,1115000.0,38440.0,38440.0
1,3,0.000899**x0,a1**x0,{'a1': 0.000899},"{'a1': (0.000899, 0, 0)}",{},38458.1*(a1**((x0 - 1794.0) * 0.000184332)),56810.0,0.1306,29,613800.0,613800.0,21160.0,21160.0
2,5,3.87e-5**(x0 - 0.137),a2**(a1 + x0),"{'a1': -0.137, 'a2': 3.87e-05}","{'a1': (-0.136755, 0.0057, -0.0057), 'a2': (3.87e-05, 0, 0)}",{},38458.1*(a2**(a1 + ((x0 - 1794.0) * 0.000184332))),19510.0,0.8975,28,95440.0,95440.0,3409.0,3408.0
3,6,3.87e-5**(exp(x0) - 1.15),a2**(a1 + exp(x0)),"{'a1': -1.15, 'a2': 3.87e-05}","{'a1': (-1.15, 0, 0), 'a2': (1.547e-05, 5.96e-06, -5.96e-06)}",{},38458.1*(a2**(a1 + exp(((x0 - 1794.0) * 0.000184332)))),10270.0,0.9716,28,68570.0,58070.0,2449.0,2074.0
4,7,5.87*0.000414**(2*x0),a1**(2*x0)*a2,"{'a1': 0.000414, 'a2': 5.87}","{'a1': (0.000408371, 2.90026e-05, -2.72975e-05), 'a2': (5.88847, 0.0537065, -0.053551)}","{'a1, a2': -0.7059}",38458.1*(a1**(2*((x0 - 1794.0) * 0.000184332))*a2),1560.0,0.9993,27,1184.0,1178.0,43.84,43.64
5,8,5.86*0.000414**(2.01*tanh(x0)),a1**(a2*tanh(x0))*a3,"{'a1': 0.000414, 'a2': 2.01, 'a3': 5.86}","{'a1': (0.000414, 0, 0), 'a2': (2.01865, 0.014255, -0.0141557), 'a3': (5.90496, 0.0432767, -0.0431726)}","{'a2, a3': 0.702}",38458.1*(a1**(a2*tanh(((x0 - 1794.0) * 0.000184332)))*a3),1391.0,0.9995,27,799.0,766.1,29.59,28.37
6,9,1.14e-5**x0/(x0 + 0.164),a1**x0/(a2 + x0),"{'a1': 1.14e-05, 'a2': 0.164}","{'a1': (1.21048e-05, 5.28024e-07, -5.08001e-07), 'a2': (0.165306, 0.000581767, -0.000578468)}","{'a1, a2': 0.5487}",38458.1*(a1**((x0 - 1794.0) * 0.000184332)/(a2 + ((x0 - 1794.0) * 0.000184332))),475.9,0.9999,27,202.7,169.1,7.507,6.263
7,10,1.04e-5**tanh(x0)/(x0 + 0.164),a1**tanh(x0)/(a2 + x0),"{'a1': 1.04e-05, 'a2': 0.164}","{'a1': (1.06853e-05, 3.33998e-07, -3.24611e-07), 'a2': (0.164674, 0.00042196, -0.000420171)}","{'a1, a2': 0.5422}",38458.1*(a1**tanh(((x0 - 1794.0) * 0.000184332))/(a2 + ((x0 - 1794.0) * 0.000184332))),476.2,0.9999,27,100.7,91.63,3.731,3.394
8,11,4.37e-5**x0/(x0 + x0**1.38 + 0.164),a1**x0/(a2 + x0 + x0**a3),"{'a1': 4.37e-05, 'a2': 0.164, 'a3': 1.38}","{'a1': (5.30404e-05, 3.55657e-06, -3.46024e-06), 'a2': (0.165057, 0.000390526, -0.000391087), 'a3': (1.34599, 0.024633, -0.0226329)}","{'a1, a2': -0.377, 'a1, a3': -0.9403, 'a2, a3': 0.553}",38458.1*(a1**((x0 - 1794.0) * 0.000184332)/(a2 + ((x0 - 1794.0) * 0.000184332) + ((x0 - 1794.0) * 0.000184332)**a3)),343.5,1.0,26,108.6,52.23,4.177,2.009
9,12,4.37e-5**x0/(tanh(x0 + x0**1.38) + 0.164),a1**x0/(a2 + tanh(x0 + x0**a3)),"{'a1': 4.37e-05, 'a2': 0.164, 'a3': 1.38}","{'a1': (4.23734e-05, 2.16896e-06, -2.13211e-06), 'a2': (0.165227, 0.000295186, -0.000295632), 'a3': (1.40822, 0.0219141, -0.0203466)}","{'a1, a2': -0.3329, 'a1, a3': -0.935, 'a2, a3': 0.5139}",38458.1*(a1**((x0 - 1794.0) * 0.000184332)/(a2 + tanh(((x0 - 1794.0) * 0.000184332) + ((x0 - 1794.0) * 0.000184332)**a3))),315.5,1.0,26,53.96,31.39,2.075,1.207
