,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before refit),Chi2,Chi2/NDF (before refit),Chi2/NDF
0,1,5.21,a1,{'a1': 5.21},"{'a1': (6.02352, 0.85, -0.85)}",{},1.0*(a1),2.768,-0.002682,11,12.29,11.23,1.117,1.021
1,4,9.12*exp(-x0),a1*exp(-x0),{'a1': 9.12},"{'a1': (9.79604, 0.699, -0.699)}",{},1.0*(a1*exp(-((x0 - 397.4) * 0.00487329))),1.454,0.7234,11,3.471,3.199,0.3156,0.2908
2,5,9.18 - 6.54*x0,a1*x0 + a2,"{'a1': -6.54, 'a2': 9.18}","{'a1': (-6.37461, 1.29208, -1.2708), 'a2': (9.56559, 0.943818, -0.926682)}","{'a1, a2': -0.8634}",1.0*(a1*((x0 - 397.4) * 0.00487329) + a2),1.417,0.7371,10,3.456,3.046,0.3456,0.3046
3,6,0.0842**tanh(x0 - 1.42),a2**tanh(a1 + x0),"{'a1': -1.42, 'a2': 0.0842}","{'a1': (-1.50605, 0.106721, -0.123155), 'a2': (0.0848372, 0.0136038, -0.011418)}","{'a1, a2': -0.7606}",1.0*(a2**tanh(a1 + ((x0 - 397.4) * 0.00487329))),1.408,0.7406,10,3.43,3.012,0.343,0.3012
4,7,0.084**tanh(x0 - 1.42),a2**tanh(a1 + x0),"{'a1': -1.42, 'a2': 0.084}","{'a1': (-1.50605, 0.106721, -0.123155), 'a2': (0.0848372, 0.0136038, -0.011418)}","{'a1, a2': -0.7606}",1.0*(a2**tanh(a1 + ((x0 - 397.4) * 0.00487329))),1.408,0.7406,10,3.418,3.012,0.3418,0.3012
5,8,0.23**(tanh(x0**2) - 1.47),a2**(a1 + tanh(x0**2)),"{'a1': -1.47, 'a2': 0.23}","{'a1': (-1.69877, 0.313, -0.313), 'a2': (0.273265, 0.0726, -0.0726)}","{'a1, a2': -0.9819}",1.0*(a2**(a1 + tanh(((x0 - 397.4) * 0.00487329)**2))),1.409,0.7401,10,3.438,3.018,0.3438,0.3018
6,10,x0 + 8.67/6.96**tanh(x0**2),x0 + a2/a1**tanh(x0**2),"{'a1': 6.96, 'a2': 8.67}","{'a1': (5.37084, 2.35693, -1.48428), 'a2': (9.01479, 0.874383, -0.862423)}","{'a1, a2': 0.5152}",1.0*(((x0 - 397.4) * 0.00487329) + a2/a1**tanh(((x0 - 397.4) * 0.00487329)**2)),1.415,0.7377,10,3.461,3.048,0.3461,0.3048
