,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Correlation,RMSE,R2,NDF,Chi2,Chi2/NDF
0,25510.7*(a1),"{'a1': (0.00151, 0, 0)}",{},57850.0,-0.2405,45,1146000.0,25470.0
1,25510.7*(a1**((x0 - 1794.0) * 0.000184332)),"{'a1': (0.00117, 0, 0)}",{},49600.0,0.08784,45,759400.0,16880.0
2,25510.7*(a1**((x0 - 1794.0) * 0.000184332)*a2),"{'a1': (2.5e-05, 0, 0), 'a2': (5.92027, 0.296, -0.296)}",{},16400.0,0.9003,44,113200.0,2574.0
3,25510.7*(a1**((x0 - 1794.0) * 0.000184332)*a2),"{'a1': (2.5e-05, 0, 0), 'a2': (5.92027, 0.296, -0.296)}",{},16400.0,0.9003,44,113200.0,2574.0
4,25510.7*(a1**((x0 - 1794.0) * 0.000184332)/(a2 + ((x0 - 1794.0) * 0.000184332))),"{'a1': (5.1138e-05, 2.01694e-06, -1.95246e-06), 'a2': (0.107127, 0.000464363, -0.000461057)}","{'a1, a2': 0.4229}",1145.0,0.9995,43,439.8,10.23
5,25510.7*(tanh(a1**((x0 - 1794.0) * 0.000184332))/(a2 + ((x0 - 1794.0) * 0.000184332))),"{'a1': (3.17511e-05, 1.30905e-06, -1.2667e-06), 'a2': (0.0838267, 0.000364359, -0.000362132)}","{'a1, a2': 0.3703}",582.5,0.9999,43,416.7,9.692
6,25510.7*(a1**((x0 - 1794.0) * 0.000184332)/(a2 + a3*((x0 - 1794.0) * 0.000184332))),"{'a1': (3.2353e-05, 3.16299e-06, -2.94291e-06), 'a2': (0.108472, 0.00043986, -0.000437373), 'a3': (0.866655, 0.0246602, -0.0248069)}","{'a1, a2': -0.4316, 'a1, a3': 0.9446, 'a2, a3': -0.5837}",674.1,0.9998,42,254.5,6.059
7,25510.7*(a1**((x0 - 1794.0) * 0.000184332)*a3/(a2 + tanh(((x0 - 1794.0) * 0.000184332)))),"{'a1': (2.83882e-05, 2.57216e-06, -2.40423e-06), 'a2': (0.12864, 0.00389318, -0.00366962), 'a3': (1.18513, 0.0330389, -0.0311346)}","{'a1, a2': -0.9235, 'a1, a3': -0.9432, 'a2, a3': 0.9935}",642.2,0.9998,42,221.5,5.274
8,25510.7*(a1**((x0 - 1794.0) * 0.000184332)/(a2 + a4*((x0 - 1794.0) * 0.000184332)**a3)),"{'a1': (9.2403e-05, 8.18686e-06, -7.5935e-06), 'a2': (0.110143, 0.000240389, -0.00023994), 'a3': (1.16247, 0.0118506, -0.0119566), 'a4': (1.57684, 0.0699861, -0.0679065)}","{'a1, a2': 0.376, 'a1, a3': 0.8767, 'a1, a4': 0.9636, 'a2, a3': 0.5986, 'a2, a4': 0.4687, 'a3, a4': 0.9681}",178.8,1.0,41,50.24,1.225
9,25510.7*(a1**((x0 - 1794.0) * 0.000184332)/(a2 + a4*tanh(((x0 - 1794.0) * 0.000184332)**a3))),"{'a1': (7.633e-05, 6.64755e-06, -6.18555e-06), 'a2': (0.110088, 0.000231547, -0.000231278), 'a3': (1.1516, 0.0115844, -0.0116971), 'a4': (1.48011, 0.0647165, -0.062908)}","{'a1, a2': 0.3807, 'a1, a3': 0.8803, 'a1, a4': 0.9652, 'a2, a3': 0.596, 'a2, a4': 0.4666, 'a3, a4': 0.9655}",168.6,1.0,41,46.86,1.143
10,25510.7*(a1**((x0 - 1794.0) * 0.000184332)/(a2 + a4*tanh(((x0 - 1794.0) * 0.000184332)**a3))),"{'a1': (7.633e-05, 6.64755e-06, -6.18555e-06), 'a2': (0.110088, 0.000231547, -0.000231278), 'a3': (1.1516, 0.0115844, -0.0116971), 'a4': (1.48011, 0.0647165, -0.062908)}","{'a1, a2': 0.3807, 'a1, a3': 0.8803, 'a1, a4': 0.9652, 'a2, a3': 0.596, 'a2, a4': 0.4666, 'a3, a4': 0.9655}",168.6,1.0,41,46.86,1.143
11,25510.7*(a1**((x0 - 1794.0) * 0.000184332)/(a2 + a4*tanh(((x0 - 1794.0) * 0.000184332)**a3))),"{'a1': (7.633e-05, 6.64755e-06, -6.18555e-06), 'a2': (0.110088, 0.000231547, -0.000231278), 'a3': (1.1516, 0.0115844, -0.0116971), 'a4': (1.48011, 0.0647165, -0.062908)}","{'a1, a2': 0.3807, 'a1, a3': 0.8803, 'a1, a4': 0.9652, 'a2, a3': 0.596, 'a2, a4': 0.4666, 'a3, a4': 0.9655}",168.6,1.0,41,46.86,1.143
12,25510.7*(a1**((x0 - 1794.0) * 0.000184332)/tanh(a2 + a4*((x0 - 1794.0) * 0.000184332)**a3)),"{'a1': (5.75188e-05, 3.44275e-06, -3.31994e-06), 'a2': (0.110505, 0.000227291, -0.000227199), 'a3': (1.14578, 0.0104728, -0.0105838), 'a4': (1.4105, 0.0506234, -0.0497933)}","{'a1, a2': 0.3184, 'a1, a3': 0.8145, 'a1, a4': 0.935, 'a2, a3': 0.5911, 'a2, a4': 0.4443, 'a3, a4': 0.957}",166.5,1.0,41,45.34,1.106
13,25510.7*(a1**((x0 - 1794.0) * 0.000184332)/tanh(a2 + a4*((x0 - 1794.0) * 0.000184332)**a3)),"{'a1': (5.75188e-05, 3.44275e-06, -3.31994e-06), 'a2': (0.110505, 0.000227291, -0.000227199), 'a3': (1.14578, 0.0104728, -0.0105838), 'a4': (1.4105, 0.0506234, -0.0497933)}","{'a1, a2': 0.3184, 'a1, a3': 0.8145, 'a1, a4': 0.935, 'a2, a3': 0.5911, 'a2, a4': 0.4443, 'a3, a4': 0.957}",166.5,1.0,41,45.34,1.106
14,25510.7*(a1**((x0 - 1794.0) * 0.000184332)/tanh(a2 + a4*((x0 - 1794.0) * 0.000184332)**a3)),"{'a1': (5.75188e-05, 3.44275e-06, -3.31994e-06), 'a2': (0.110505, 0.000227291, -0.000227199), 'a3': (1.14578, 0.0104728, -0.0105838), 'a4': (1.4105, 0.0506234, -0.0497933)}","{'a1, a2': 0.3184, 'a1, a3': 0.8145, 'a1, a4': 0.935, 'a2, a3': 0.5911, 'a2, a4': 0.4443, 'a3, a4': 0.957}",166.5,1.0,41,45.34,1.106
15,25510.7*(a1 + a2**((x0 - 1794.0) * 0.000184332)/tanh(a3 + a5*((x0 - 1794.0) * 0.000184332)**a4)),"{'a1': (-2.75e-05, 0, 0), 'a2': (5.84912e-05, 3.44616e-06, -3.32798e-06), 'a3': (0.11052, 0.000226111, -0.00022601), 'a4': (1.1478, 0.0103629, -0.0104736), 'a5': (1.42253, 0.0503573, -0.0495685)}","{'a2, a3': 0.3152, 'a2, a4': 0.8095, 'a2, a5': 0.9332, 'a3, a4': 0.5866, 'a3, a5': 0.4414, 'a4, a5': 0.9527}",168.1,1.0,41,44.89,1.095
16,25510.7*(a1 + a2**((x0 - 1794.0) * 0.000184332)/tanh(a3 + a5*((x0 - 1794.0) * 0.000184332)**a4)),"{'a1': (-5.27e-05, 0, 0), 'a2': (5.96241e-05, 3.54582e-06, -3.41846e-06), 'a3': (0.110537, 0.000229363, -0.000229198), 'a4': (1.15019, 0.0104856, -0.0105889), 'a5': (1.43667, 0.051374, -0.0504987)}","{'a2, a3': 0.3151, 'a2, a4': 0.8085, 'a2, a5': 0.934, 'a3, a4': 0.5865, 'a3, a5': 0.4419, 'a4, a5': 0.9525}",170.4,1.0,41,46.15,1.126
17,25510.7*(a1 + a2**((x0 - 1794.0) * 0.000184332)/tanh(a3 + a5*((x0 - 1794.0) * 0.000184332)**a4)),"{'a1': (-5.27e-05, 0, 0), 'a2': (5.96241e-05, 3.54582e-06, -3.41846e-06), 'a3': (0.110537, 0.000229363, -0.000229198), 'a4': (1.15019, 0.0104856, -0.0105889), 'a5': (1.43667, 0.051374, -0.0504987)}","{'a2, a3': 0.3151, 'a2, a4': 0.8085, 'a2, a5': 0.934, 'a3, a4': 0.5865, 'a3, a5': 0.4419, 'a4, a5': 0.9525}",170.4,1.0,41,46.15,1.126
18,25510.7*(a1*a2**((x0 - 1794.0) * 0.000184332)*((x0 - 1794.0) * 0.000184332) + a3**((x0 - 1794.0) * 0.000184332)/tanh(a4 + a6*((x0 - 1794.0) * 0.000184332)**a5)),"{'a1': (-0.029, 0, 0), 'a2': (4.64e-05, 0, 0), 'a3': (5.87405e-05, 3.48985e-06, -3.36706e-06), 'a4': (0.110508, 0.000227476, -0.000227395), 'a5': (1.14643, 0.0104361, -0.0105464), 'a6': (1.41731, 0.0505789, -0.0497586)}","{'a3, a4': 0.3164, 'a3, a5': 0.8098, 'a3, a6': 0.9325, 'a4, a5': 0.5867, 'a4, a6': 0.4422, 'a5, a6': 0.9525}",166.6,1.0,41,45.43,1.108
19,25510.7*(a1*a2**tanh(((x0 - 1794.0) * 0.000184332))*((x0 - 1794.0) * 0.000184332) + a3**((x0 - 1794.0) * 0.000184332)/tanh(a4 + a6*((x0 - 1794.0) * 0.000184332)**a5)),"{'a1': (-0.029, 0, 0), 'a2': (4.64e-05, 0, 0), 'a3': (5.97391e-05, 3.51668e-06, -3.39016e-06), 'a4': (0.110522, 0.000226827, -0.00022671), 'a5': (1.14835, 0.0103733, -0.010473), 'a6': (1.4291, 0.0505906, -0.0497219)}","{'a3, a4': 0.3161, 'a3, a5': 0.809, 'a3, a6': 0.9336, 'a4, a5': 0.5889, 'a4, a6': 0.4439, 'a5, a6': 0.9551}",168.2,1.0,41,45.17,1.102
20,25510.7*(a1*a2**tanh(((x0 - 1794.0) * 0.000184332))*((x0 - 1794.0) * 0.000184332) + a3**((x0 - 1794.0) * 0.000184332)/tanh(a4 + a6*((x0 - 1794.0) * 0.000184332)**a5)),"{'a1': (-0.029, 0, 0), 'a2': (4.64e-05, 0, 0), 'a3': (5.97391e-05, 3.51668e-06, -3.39016e-06), 'a4': (0.110522, 0.000226827, -0.00022671), 'a5': (1.14835, 0.0103733, -0.010473), 'a6': (1.4291, 0.0505906, -0.0497219)}","{'a3, a4': 0.3161, 'a3, a5': 0.809, 'a3, a6': 0.9336, 'a4, a5': 0.5889, 'a4, a6': 0.4439, 'a5, a6': 0.9551}",168.2,1.0,41,45.17,1.102
21,25510.7*(a1*a2**tanh(((x0 - 1794.0) * 0.000184332))*((x0 - 1794.0) * 0.000184332) + a3**((x0 - 1794.0) * 0.000184332)/tanh(a4 + a6*((x0 - 1794.0) * 0.000184332)**a5)),"{'a1': (-0.044, 0, 0), 'a2': (4.64e-05, 0, 0), 'a3': (6.09395e-05, 3.55996e-06, -3.43895e-06), 'a4': (0.110531, 0.000227062, -0.000226921), 'a5': (1.14973, 0.0103381, -0.0104449), 'a6': (1.43908, 0.0506437, -0.0498429)}","{'a3, a4': 0.3148, 'a3, a5': 0.8137, 'a3, a6': 0.9331, 'a4, a5': 0.5903, 'a4, a6': 0.4419, 'a5, a6': 0.96}",169.2,1.0,41,45.26,1.104
