,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before refit),Chi2,Chi2/NDF (before refit),Chi2/NDF
17,22,(4.98e-5*tanh(11.4*x0 + 1.1))**((x0 - 0.235)/tanh(0.539*x0 + 0.518)),(a2*tanh(a5 + a6*x0))**((a1 + x0)/tanh(a3 + a4*x0)),"{'a1': -0.235, 'a2': 4.98e-05, 'a3': 0.518, 'a4': 0.539, 'a5': 1.1, 'a6': 11.4}","{'a1': (-0.235, 0, 0), 'a2': (4.98e-05, 0, 0), 'a3': (0.517391, 0.00529, -0.00529), 'a4': (0.544452, 0.0305, -0.0305), 'a5': (1.09102, 0.189, -0.189), 'a6': (10.3529, 3.52, -3.52)}","{'a3, a4': -0.9428, 'a3, a5': -1, 'a3, a6': -0.9475, 'a4, a5': 0.9456, 'a4, a6': 0.8024, 'a5, a6': 0.9386}",1.0*((a2*tanh(a5 + a6*((x0 - 1568.5) * 0.000145275)))**((a1 + ((x0 - 1568.5) * 0.000145275))/tanh(a3 + a4*((x0 - 1568.5) * 0.000145275)))),0.04628,1.0,31,524.2,274.3,16.91,8.848
18,28,(4.98e-5*tanh(4.94*x0*(x0 + 2.31) + 1.1))**((x0 - 0.235)/tanh(0.525*x0 + 0.518)) - 0.000115,a2 + (a3*tanh(a6 + a8*x0*(a7 + x0)))**((a1 + x0)/tanh(a4 + a5*x0)),"{'a1': -0.235, 'a2': -0.000115, 'a3': 4.98e-05, 'a4': 0.518, 'a5': 0.525, 'a6': 1.1, 'a7': 2.31, 'a8': 4.94}","{'a1': (-0.238095, 0.000407, -0.000407), 'a2': (-0.000115, 0, 0), 'a3': (4.98e-05, 0, 0), 'a4': (0.572135, 0.0199, -0.0199), 'a5': (0.431686, 0.0477, -0.0477), 'a6': (0.402989, 0.131, -0.131), 'a7': (0.736682, 0.179, -0.179), 'a8': (4.94, 0, 0)}","{'a1, a4': -0.7014, 'a1, a5': 0.6305, 'a1, a6': 0.6726, 'a1, a7': 0.6055, 'a4, a5': -0.9733, 'a4, a6': -1.0, 'a4, a7': -0.9803, 'a5, a6': 0.9798, 'a5, a7': 0.9351, 'a6, a7': 0.9874}",1.0*(a2 + (a3*tanh(a6 + a8*((x0 - 1568.5) * 0.000145275)*(a7 + ((x0 - 1568.5) * 0.000145275))))**((a1 + ((x0 - 1568.5) * 0.000145275))/tanh(a4 + a5*((x0 - 1568.5) * 0.000145275)))),0.02393,1.0,30,474.8,106.9,15.83,3.564
19,32,(4.98e-5*tanh(4.94*x0*(x0 + 2.31) + 1.1))**((x0 - 0.235)/tanh(0.525*x0 + 0.518)) + 4.98e-5/(-0.433*x0 - 0.227),a4/(a1*x0 + a3) + (a4*tanh(a7 + a9*x0*(a8 + x0)))**((a2 + x0)/tanh(a5 + a6*x0)),"{'a1': -0.433, 'a2': -0.235, 'a3': -0.227, 'a4': 4.98e-05, 'a5': 0.518, 'a6': 0.525, 'a7': 1.1, 'a8': 2.31, 'a9': 4.94}","{'a1': (-1.37363, 0.498, -0.498), 'a2': (-0.235, 0, 0), 'a3': (0.653922, 0.232, -0.232), 'a4': (4.98e-05, 0, 0), 'a5': (0.514716, 0.00445, -0.00445), 'a6': (0.561587, 0.031, -0.031), 'a7': (1.19828, 0.198, -0.198), 'a8': (2.31, 0, 0), 'a9': (5.22361, 1.86, -1.86)}","{'a1, a3': -0.9997, 'a1, a5': -0.444, 'a1, a6': 0.4731, 'a1, a7': 0.4464, 'a1, a9': 0.3785, 'a3, a5': 0.4288, 'a3, a6': -0.4564, 'a3, a7': -0.4311, 'a3, a9': -0.3659, 'a5, a6': -0.9582, 'a5, a7': -0.9998, 'a5, a9': -0.9451, 'a6, a7': 0.9625, 'a6, a9': 0.833, 'a7, a9': 0.9371}",1.0*(a4/(a1*((x0 - 1568.5) * 0.000145275) + a3) + (a4*tanh(a7 + a9*((x0 - 1568.5) * 0.000145275)*(a8 + ((x0 - 1568.5) * 0.000145275))))**((a2 + ((x0 - 1568.5) * 0.000145275))/tanh(a5 + a6*((x0 - 1568.5) * 0.000145275)))),0.04943,1.0,29,439.9,227.9,15.17,7.858
20,34,(4.98e-5*tanh(4.94*x0*(x0 + 2.31) + 1.1))**((x0 - 0.235)/tanh(0.525*x0 + 0.518)) + 4.98e-5/(0.012 - 0.433*x0),a3/(a1*x0 + a4) + (a3*tanh(a7 + a9*x0*(a8 + x0)))**((a2 + x0)/tanh(a5 + a6*x0)),"{'a1': -0.433, 'a2': -0.235, 'a3': 4.98e-05, 'a4': 0.012, 'a5': 0.518, 'a6': 0.525, 'a7': 1.1, 'a8': 2.31, 'a9': 4.94}","{'a1': (-0.433, 0, 0), 'a2': (-0.238539, 0.000208, -0.000208), 'a3': (8.2455e-07, 1.61e-07, -1.61e-07), 'a4': (0.0448419, 2.79e-06, -2.79e-06), 'a5': (0.82565, 0.018, -0.018), 'a6': (1.49249, 0.0967, -0.0967), 'a7': (1.1, 0, 0), 'a8': (2.31, 0, 0), 'a9': (2.33529, 0.495, -0.495)}","{'a2, a3': 0.6834, 'a2, a4': -0.444, 'a2, a5': -0.7148, 'a2, a6': -0.7425, 'a2, a9': 0.5807, 'a3, a4': -0.4964, 'a3, a5': -0.998, 'a3, a6': -0.9821, 'a3, a9': 0.823, 'a4, a5': 0.5024, 'a4, a6': 0.4567, 'a4, a9': -0.2883, 'a5, a6': 0.9864, 'a5, a9': -0.826, 'a6, a9': -0.8977}",1.0*(a3/(a1*((x0 - 1568.5) * 0.000145275) + a4) + (a3*tanh(a7 + a9*((x0 - 1568.5) * 0.000145275)*(a8 + ((x0 - 1568.5) * 0.000145275))))**((a2 + ((x0 - 1568.5) * 0.000145275))/tanh(a5 + a6*((x0 - 1568.5) * 0.000145275)))),0.01817,1.0,29,479.1,21.38,16.52,0.7371
21,36,-2.64*4.98e-5**x0*x0**3.41 + (4.98e-5*tanh(4.61*x0 + 1.1))**((x0 - 0.235)/tanh(0.611*x0 + 0.518)),a1*a3**x0*x0**a7 + (a3*tanh(a6 + a8*x0))**((a2 + x0)/tanh(a4 + a5*x0)),"{'a1': -2.64, 'a2': -0.235, 'a3': 4.98e-05, 'a4': 0.518, 'a5': 0.611, 'a6': 1.1, 'a7': 3.41, 'a8': 4.61}","{'a1': (-2.64, 0, 0), 'a2': (-0.243138, 0.00179, -0.00179), 'a3': (6.64543e-05, 9.1e-06, -9.1e-06), 'a4': (0.518, 0, 0), 'a5': (0.732148, 0.011, -0.011), 'a6': (1.19315, 0.186, -0.186), 'a7': (0.839884, 0.209, -0.209), 'a8': (6.47593, 2.28, -2.28)}","{'a2, a3': -0.9675, 'a2, a5': -0.3957, 'a2, a6': 0.8759, 'a2, a7': 0.9904, 'a2, a8': 0.8843, 'a3, a5': 0.1818, 'a3, a6': -0.9699, 'a3, a7': -0.941, 'a3, a8': -0.9622, 'a5, a6': 0.05324, 'a5, a7': -0.4791, 'a5, a8': -0.07076, 'a6, a7': 0.8281, 'a6, a8': 0.9779, 'a7, a8': 0.8504}",1.0*(a1*a3**((x0 - 1568.5) * 0.000145275)*((x0 - 1568.5) * 0.000145275)**a7 + (a3*tanh(a6 + a8*((x0 - 1568.5) * 0.000145275)))**((a2 + ((x0 - 1568.5) * 0.000145275))/tanh(a4 + a5*((x0 - 1568.5) * 0.000145275)))),0.02369,1.0,29,447.0,28.71,15.41,0.9901
22,37,-2.64*4.98e-5**x0*x0**3.49 + (4.98e-5*tanh(4.61*x0 + 1.1))**((x0 - 0.235)/tanh(0.611*x0 + 0.518)),a1*a3**x0*x0**a7 + (a3*tanh(a6 + a8*x0))**((a2 + x0)/tanh(a4 + a5*x0)),"{'a1': -2.64, 'a2': -0.235, 'a3': 4.98e-05, 'a4': 0.518, 'a5': 0.611, 'a6': 1.1, 'a7': 3.49, 'a8': 4.61}","{'a1': (-2.64, 0, 0), 'a2': (-0.243138, 0.00179, -0.00179), 'a3': (6.64543e-05, 9.1e-06, -9.1e-06), 'a4': (0.518, 0, 0), 'a5': (0.732148, 0.011, -0.011), 'a6': (1.19315, 0.186, -0.186), 'a7': (0.839884, 0.209, -0.209), 'a8': (6.47593, 2.28, -2.28)}","{'a2, a3': -0.9675, 'a2, a5': -0.3957, 'a2, a6': 0.8759, 'a2, a7': 0.9904, 'a2, a8': 0.8843, 'a3, a5': 0.1818, 'a3, a6': -0.9699, 'a3, a7': -0.941, 'a3, a8': -0.9622, 'a5, a6': 0.05324, 'a5, a7': -0.4791, 'a5, a8': -0.07076, 'a6, a7': 0.8281, 'a6, a8': 0.9779, 'a7, a8': 0.8504}",1.0*(a1*a3**((x0 - 1568.5) * 0.000145275)*((x0 - 1568.5) * 0.000145275)**a7 + (a3*tanh(a6 + a8*((x0 - 1568.5) * 0.000145275)))**((a2 + ((x0 - 1568.5) * 0.000145275))/tanh(a4 + a5*((x0 - 1568.5) * 0.000145275)))),0.02369,1.0,29,445.2,28.71,15.35,0.9901
23,38,-x0**3.59*tanh(2.64*4.98e-5**x0) + (4.98e-5*tanh(4.61*x0 + 1.1))**((x0 - 0.235)/tanh(0.611*x0 + 0.518)),-x0**a7*tanh(a2**x0*a6) + (a2*tanh(a5 + a8*x0))**((a1 + x0)/tanh(a3 + a4*x0)),"{'a1': -0.235, 'a2': 4.98e-05, 'a3': 0.518, 'a4': 0.611, 'a5': 1.1, 'a6': 2.64, 'a7': 3.59, 'a8': 4.61}","{'a1': (-0.242435, 0.00205, -0.00205), 'a2': (4.98e-05, 0, 0), 'a3': (0.536846, 0.00547, -0.00547), 'a4': (0.757678, 0.0617, -0.0617), 'a5': (1.1, 0, 0), 'a6': (3.03687, 0.576, -0.576), 'a7': (0.978795, 0.2, -0.2), 'a8': (5.71013, 1.33, -1.33)}","{'a1, a3': -0.9979, 'a1, a4': -0.9886, 'a1, a6': -0.9591, 'a1, a7': 0.9604, 'a1, a8': 0.9237, 'a3, a4': 0.9914, 'a3, a6': 0.962, 'a3, a7': -0.9623, 'a3, a8': -0.9291, 'a4, a6': 0.9798, 'a4, a7': -0.9348, 'a4, a8': -0.9642, 'a6, a7': -0.8619, 'a6, a8': -0.959, 'a7, a8': 0.8499}",1.0*(-((x0 - 1568.5) * 0.000145275)**a7*tanh(a2**((x0 - 1568.5) * 0.000145275)*a6) + (a2*tanh(a5 + a8*((x0 - 1568.5) * 0.000145275)))**((a1 + ((x0 - 1568.5) * 0.000145275))/tanh(a3 + a4*((x0 - 1568.5) * 0.000145275)))),0.02355,1.0,29,443.3,28.83,15.29,0.9941
24,41,-2.64*4.98e-5**x0*x0*x0**exp(1.08/(x0 + 0.864)) + (4.98e-5*tanh(4.61*x0 + 1.1))**((x0 - 0.235)/tanh(0.611*x0 + 0.518)),a1*a3**x0*x0*x0**exp(a7/(a6 + x0)) + (a3*tanh(a8 + a9*x0))**((a2 + x0)/tanh(a4 + a5*x0)),"{'a1': -2.64, 'a2': -0.235, 'a3': 4.98e-05, 'a4': 0.518, 'a5': 0.611, 'a6': 0.864, 'a7': 1.08, 'a8': 1.1, 'a9': 4.61}","{'a1': (-2.64, 0, 0), 'a2': (-0.235, 0, 0), 'a3': (3.59315e-05, 9.28e-06, -9.28e-06), 'a4': (0.533074, 0.0196, -0.0196), 'a5': (0.611, 0, 0), 'a6': (0.864, 0, 0), 'a7': (1.88984, 0.643, -0.643), 'a8': (1.27374, 0.195, -0.195), 'a9': (13.5394, 4.89, -4.89)}","{'a3, a4': -0.9972, 'a3, a7': -0.5562, 'a3, a8': 0.9543, 'a3, a9': 0.7991, 'a4, a7': 0.5504, 'a4, a8': -0.9697, 'a4, a9': -0.8307, 'a7, a8': -0.51, 'a7, a9': -0.4058, 'a8, a9': 0.9215}",1.0*(a1*a3**((x0 - 1568.5) * 0.000145275)*((x0 - 1568.5) * 0.000145275)*((x0 - 1568.5) * 0.000145275)**exp(a7/(a6 + ((x0 - 1568.5) * 0.000145275))) + (a3*tanh(a8 + a9*((x0 - 1568.5) * 0.000145275)))**((a2 + ((x0 - 1568.5) * 0.000145275))/tanh(a4 + a5*((x0 - 1568.5) * 0.000145275)))),0.05235,1.0,30,446.1,223.3,14.87,7.444
25,42,(4.98e-5*tanh(4.61*x0 + 1.1))**((x0 - 0.235)/tanh(0.611*x0 + 0.518)) - (x0**2.37 - 0.109)*tanh(2.64*3.56e-5**x0),(a4*tanh(a10*x0 + a7))**((a1 + x0)/tanh(a5 + a6*x0)) - (a2 + x0**a8)*tanh(a3**x0*a9),"{'a1': -0.235, 'a2': -0.109, 'a3': 3.56e-05, 'a4': 4.98e-05, 'a5': 0.518, 'a6': 0.611, 'a7': 1.1, 'a8': 2.37, 'a9': 2.64, 'a10': 4.61}","{'a1': (-0.235, 0, 0), 'a2': (-0.457969, 0.0988, -0.0988), 'a3': (3.56e-05, 0, 0), 'a4': (4.98e-05, 0, 0), 'a5': (0.518, 0, 0), 'a6': (0.616511, 0.0109, -0.0109), 'a7': (1.08553, 0.00464, -0.00464), 'a8': (0.856674, 0.268, -0.268), 'a9': (4.05356, 0.681, -0.681), 'a10': (6.88545, 0.61, -0.61)}","{'a2, a6': -0.8285, 'a2, a7': -0.7208, 'a2, a8': 0.9974, 'a2, a9': -0.9158, 'a2, a10': 0.6473, 'a6, a7': 0.7158, 'a6, a8': -0.8432, 'a6, a9': 0.9131, 'a6, a10': -0.9375, 'a7, a8': -0.7279, 'a7, a9': 0.7059, 'a7, a10': -0.7226, 'a8, a9': -0.924, 'a8, a10': 0.671, 'a9, a10': -0.7743}",1.0*((a4*tanh(a10*((x0 - 1568.5) * 0.000145275) + a7))**((a1 + ((x0 - 1568.5) * 0.000145275))/tanh(a5 + a6*((x0 - 1568.5) * 0.000145275))) - (a2 + ((x0 - 1568.5) * 0.000145275)**a8)*tanh(a3**((x0 - 1568.5) * 0.000145275)*a9)),0.02414,1.0,29,233.2,28.64,8.042,0.9876
26,44,(4.98e-5*tanh(4.61*x0 + 1.1))**((x0 - 0.235)/tanh(0.611*x0 + 0.518)) - (1.48*x0**2.37 - 0.162)*tanh(2.64*3.56e-5**x0),(a4*tanh(a11*x0 + a7))**((a1 + x0)/tanh(a5 + a6*x0)) - (a2 + a8*x0**a9)*tanh(a10*a3**x0),"{'a1': -0.235, 'a2': -0.162, 'a3': 3.56e-05, 'a4': 4.98e-05, 'a5': 0.518, 'a6': 0.611, 'a7': 1.1, 'a8': 1.48, 'a9': 2.37, 'a10': 2.64, 'a11': 4.61}","{'a1': (-0.235, 0, 0), 'a2': (-0.162, 0, 0), 'a3': (3.56e-05, 0, 0), 'a4': (4.98e-05, 0, 0), 'a5': (0.518, 0, 0), 'a6': (0.572234, 0.00638, -0.00638), 'a7': (1.07524, 0.00334, -0.00334), 'a8': (0.391684, 0.109, -0.109), 'a9': (1.14865, 0.365, -0.365), 'a10': (8.3311, 3.16, -3.16), 'a11': (8.67203, 0.487, -0.487)}","{'a6, a7': 0.253, 'a6, a8': 0.7183, 'a6, a9': 0.6825, 'a6, a10': -0.6683, 'a6, a11': -0.8986, 'a7, a8': 0.09737, 'a7, a9': 0.08299, 'a7, a10': -0.0818, 'a7, a11': -0.4638, 'a8, a9': 0.9964, 'a8, a10': -0.9845, 'a8, a11': -0.5331, 'a9, a10': -0.9821, 'a9, a11': -0.494, 'a10, a11': 0.484}",1.0*((a4*tanh(a11*((x0 - 1568.5) * 0.000145275) + a7))**((a1 + ((x0 - 1568.5) * 0.000145275))/tanh(a5 + a6*((x0 - 1568.5) * 0.000145275))) - (a2 + a8*((x0 - 1568.5) * 0.000145275)**a9)*tanh(a10*a3**((x0 - 1568.5) * 0.000145275))),0.02889,1.0,29,221.4,31.77,7.633,1.096
