,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before refit),Chi2,Chi2/NDF (before refit),Chi2/NDF
0,1,0.998,a1,{'a1': 0.998},"{'a1': (0.99666, 0.00428, -0.00428)}",{},a1,0.07695,-9.899e-08,18,129.4,128.7,7.19,7.151
1,3,1.0**x0,a1**x0,{'a1': 1.0},"{'a1': (0.999473, 0.000574, -0.000574)}",{},a1**x0,0.07722,-0.00697,18,133.1,127.1,7.393,7.061
2,4,tanh(1.84*x0),tanh(a1*x0),{'a1': 1.84},"{'a1': (1.83605, 0.398, -0.398)}",{},tanh(a1*x0),0.03384,0.8066,18,95.87,95.87,5.326,5.326
3,6,x0**exp(-1.08*x0),x0**exp(a1*x0),{'a1': -1.08},"{'a1': (-1.12968, 0.108, -0.108)}",{},x0**exp(a1*x0),0.02044,0.9294,18,58.1,57.18,3.228,3.177
4,8,x0**exp(-0.985*x0) - 0.00796,a2 + x0**exp(a1*x0),"{'a1': -0.985, 'a2': -0.00796}","{'a1': (-1.02561, 0.0692772, -0.0886568), 'a2': (-0.0075356, 0.00290136, -0.00295676)}","{'a1, a2': -0.5113}",a2 + x0**exp(a1*x0),0.0212,0.9241,17,40.78,39.92,2.399,2.348
5,9,x0**exp(-0.985*x0) - 0.00796,a2 + x0**exp(a1*x0),"{'a1': -0.985, 'a2': -0.00796}","{'a1': (-1.02561, 0.0692772, -0.0886568), 'a2': (-0.0075356, 0.00290136, -0.00295676)}","{'a1, a2': -0.5113}",a2 + x0**exp(a1*x0),0.0212,0.9241,17,40.78,39.92,2.399,2.348
6,10,(0.947*x0)**exp(-0.965*x0) - 0.00861,a2 + (a3*x0)**exp(a1*x0),"{'a1': -0.965, 'a2': -0.00861, 'a3': 0.947}","{'a1': (-1.00011, 0.0744029, -0.0936139), 'a2': (-0.00762782, 0.00297815, -0.00304527), 'a3': (0.931721, 0.0929097, -0.0820619)}","{'a1, a2': -0.5094, 'a1, a3': -0.3518, 'a2, a3': 0.01828}",a2 + (a3*x0)**exp(a1*x0),0.02258,0.9139,16,39.37,38.49,2.461,2.406
7,12,(x0 - 0.212)**(x0*exp(-1.33*x0)) - 0.00677,a3 + (a2 + x0)**(x0*exp(a1*x0)),"{'a1': -1.33, 'a2': -0.212, 'a3': -0.00677}","{'a1': (-1.31544, 0.057056, -0.0700914), 'a2': (-0.211618, 0.0860035, -0.0746884), 'a3': (-0.00764728, 0.00263604, -0.00266324)}","{'a1, a2': -0.06161, 'a1, a3': -0.4789, 'a2, a3': -0.07432}",a3 + (a2 + x0)**(x0*exp(a1*x0)),0.01134,0.9783,16,32.01,31.76,2.001,1.985
8,13,(1.32*x0*exp(-0.357*x0))**exp(-0.555*x0),(a3*x0*exp(a2*x0))**exp(a1*x0),"{'a1': -0.555, 'a2': -0.357, 'a3': 1.32}","{'a1': (-0.554267, 0.034867, -0.0411796), 'a2': (-0.381478, 0.0196834, -0.0217278), 'a3': (1.36033, 0.0901237, -0.0819902)}","{'a1, a2': 0.4513, 'a1, a3': -0.4495, 'a2, a3': -0.869}",(a3*x0*exp(a2*x0))**exp(a1*x0),0.01664,0.9532,16,30.43,25.61,1.902,1.601
9,15,(1.31*x0*exp(-0.364*x0))**exp(-0.55*x0),(a3*x0*exp(a2*x0))**exp(a1*x0),"{'a1': -0.55, 'a2': -0.364, 'a3': 1.31}","{'a1': (-0.554262, 0.0348628, -0.0411838), 'a2': (-0.381477, 0.0196825, -0.0217287), 'a3': (1.36033, 0.0901274, -0.0819865)}","{'a1, a2': 0.4514, 'a1, a3': -0.4495, 'a2, a3': -0.8691}",(a3*x0*exp(a2*x0))**exp(a1*x0),0.01664,0.9532,16,27.14,25.61,1.696,1.601
