,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Covariance,Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before ROF),Chi2,Chi2/NDF (before ROF),Chi2/NDF,p-value (before ROF),p-value
0,1,0.145,a1,{'a1': 0.145},"{'a1': (0.145, 0, 0)}",{},{},164.796*(a1),257.7,-0.4263,20,2676.0,2676.0,133.8,133.8,0.0,0.0
1,2,0.210,a1,{'a1': 0.21},"{'a1': (0.21, 0, 0)}",{},{},164.796*(a1),252.0,-0.3639,20,2615.0,2615.0,130.8,130.8,0.0,0.0
2,3,0.210,a1,{'a1': 0.21},"{'a1': (0.21, 0, 0)}",{},{},164.796*(a1),252.0,-0.3639,20,2615.0,2615.0,130.8,130.8,0.0,0.0
3,4,0.53*gauss(x0),a1*gauss(x0),{'a1': 0.53},"{'a1': (0.53, 0, 0)}",{},{},164.796*(a1*gauss(((x0 - 12.5) * 0.00210526))),228.1,-0.1167,20,2561.0,2561.0,128.1,128.1,0.0,0.0
4,5,0.272*gauss(x0),a1*gauss(x0),{'a1': 0.272},"{'a1': (0.272, 0, 0)}",{},{},164.796*(a1*gauss(((x0 - 12.5) * 0.00210526))),247.9,-0.3193,20,2453.0,2453.0,122.7,122.7,0.0,0.0
5,6,0.255*gauss(x0*x0),a1*gauss(x0**2),{'a1': 0.255},"{'a1': (0.255, 0, 0)}",{},{},164.796*(a1*gauss(((x0 - 12.5) * 0.00210526)**2)),248.1,-0.3218,20,2421.0,2421.0,121.1,121.1,0.0,0.0
6,7,gauss(-0.671*x0) - 0.575,a2 + gauss(a1*x0),"{'a1': -0.671, 'a2': -0.575}","{'a1': (-0.671, 0, 0), 'a2': (-0.576492, 0.0879, -0.0879)}",{},{},164.796*(a2 + gauss(a1*((x0 - 12.5) * 0.00210526))),235.9,-0.1953,19,2341.0,2341.0,123.2,123.2,0.0,0.0
7,8,gauss(4.16*x0 - 1.25) + 0.0912,a2 + gauss(a1 + a3*x0),"{'a1': -1.25, 'a2': 0.0912, 'a3': 4.16}","{'a1': (-1.25, 0, 0), 'a2': (0.0912, 0, 0), 'a3': (4.33713, 0.599, -0.599)}",{},{},164.796*(a2 + gauss(a1 + a3*((x0 - 12.5) * 0.00210526))),198.7,0.152,19,1402.0,1395.0,73.77,73.43,5.581999999999999e-286,1.3399999999999997e-284
8,10,5.54*x0*gauss(2.62*x0) + 0.0761,a1 + a3*x0*gauss(a2*x0),"{'a1': 0.0761, 'a2': 2.62, 'a3': 5.54}","{'a1': (0.0761, 0, 0), 'a2': (3.70861, 0.197, -0.197), 'a3': (23.3005, 3.23, -3.23)}","{'a2, a3': 0.4757797186462422, 'a2, a2': 0.03891338568451408, 'a3, a3': 10.432765521365523}","{'a2, a3': 0.7477}",164.796*(a1 + a3*((x0 - 12.5) * 0.00210526)*gauss(a2*((x0 - 12.5) * 0.00210526))),98.45,0.7919,18,1290.0,383.1,71.69,21.28,4.7099999999999984e-263,3.0239999999999995e-70
9,11,15.8*x0*gauss(3.93*x0) + gauss(-1.43),a3*x0*gauss(a2*x0) + gauss(a1),"{'a1': -1.43, 'a2': 3.93, 'a3': 15.8}","{'a1': (-1.51337, 0.129, -0.129), 'a2': (3.74326, 0.211, -0.211), 'a3': (23.3141, 3.33, -3.33)}","{'a1, a2': 0.005841930248109482, 'a1, a3': -0.012403045690337714, 'a2, a3': 0.5067112745812459, 'a1, a1': 0.01661672652750206, 'a2, a2': 0.04465257522462592, 'a3, a3': 11.089931994124907}","{'a1, a2': 0.2146, 'a1, a3': -0.02887, 'a2, a3': 0.7212}",164.796*(a3*((x0 - 12.5) * 0.00210526)*gauss(a2*((x0 - 12.5) * 0.00210526)) + gauss(a1)),98.01,0.7937,17,708.0,374.3,41.65,22.02,1.6959999999999993e-139,4.3279999999999993e-69
10,12,23.3*x0*gauss(-3.74*x0) + 0.101,a2 + a3*x0*gauss(a1*x0),"{'a1': -3.74, 'a2': 0.101, 'a3': 23.3}","{'a1': (-3.74293, 0.201, -0.201), 'a2': (0.101, 0, 0), 'a3': (23.314, 3.23, -3.23)}","{'a1, a3': -0.4824733994577959, 'a1, a1': 0.040206799676489366, 'a3, a3': 10.462243228099114}","{'a1, a3': -0.7431}",164.796*(a2 + a3*((x0 - 12.5) * 0.00210526)*gauss(a1*((x0 - 12.5) * 0.00210526))),98.02,0.7937,18,374.3,374.3,20.79,20.79,2.06e-68,2.066e-68
11,13,5.93*gauss(-3.24*x0)*tanh(4.07*x0) + 0.094,a2 + a4*gauss(a1*x0)*tanh(a3*x0),"{'a1': -3.24, 'a2': 0.094, 'a3': 4.07, 'a4': 5.93}","{'a1': (-3.24208, 0.207, -0.207), 'a2': (0.094, 0, 0), 'a3': (4.07, 0, 0), 'a4': (5.92706, 0.787, -0.787)}","{'a1, a4': -0.11804693584149192, 'a1, a1': 0.04266400766853124, 'a4, a4': 0.6194452888099122}","{'a1, a4': -0.7246}",164.796*(a2 + a4*gauss(a1*((x0 - 12.5) * 0.00210526))*tanh(a3*((x0 - 12.5) * 0.00210526))),99.19,0.7888,18,367.6,367.6,20.42,20.42,5.144999999999999e-67,5.163e-67
12,14,5.93*gauss(-3.24*x0)*tanh(4.07*x0) + 0.0937,a2 + a4*gauss(a1*x0)*tanh(a3*x0),"{'a1': -3.24, 'a2': 0.0937, 'a3': 4.07, 'a4': 5.93}","{'a1': (-3.24156, 0.206, -0.206), 'a2': (0.0937, 0, 0), 'a3': (4.07, 0, 0), 'a4': (5.92693, 0.787, -0.787)}","{'a1, a4': -0.11798320078595032, 'a1, a1': 0.04263019901135369, 'a4, a4': 0.6192076614695194}","{'a1, a4': -0.7277}",164.796*(a2 + a4*gauss(a1*((x0 - 12.5) * 0.00210526))*tanh(a3*((x0 - 12.5) * 0.00210526))),99.19,0.7887,18,367.6,367.6,20.42,20.42,5.1609999999999996e-67,5.1729999999999994e-67
13,15,(6.16*tanh(3.95*x0) - 0.0733)*gauss(3.32*x0) + 0.109,a2 + (a1 + a5*tanh(a4*x0))*gauss(a3*x0),"{'a1': -0.0733, 'a2': 0.109, 'a3': 3.32, 'a4': 3.95, 'a5': 6.16}","{'a1': (-0.0733, 0, 0), 'a2': (0.109, 0, 0), 'a3': (3.3109, 0.206, -0.206), 'a4': (3.95, 0, 0), 'a5': (6.30795, 0.81, -0.81)}","{'a3, a5': 0.12093210287583132, 'a3, a3': 0.04262570324405919, 'a5, a5': 0.6562463118668194}","{'a3, a5': 0.7248}",164.796*(a2 + (a1 + a5*tanh(a4*((x0 - 12.5) * 0.00210526)))*gauss(a3*((x0 - 12.5) * 0.00210526))),97.58,0.7956,18,357.7,355.7,19.87,19.76,5.8519999999999995e-65,1.4669999999999998e-64
14,16,(6.16*tanh(3.95*x0) - 0.0732)*gauss(3.32*x0) + 0.109,a2 + (a1 + a5*tanh(a4*x0))*gauss(a3*x0),"{'a1': -0.0732, 'a2': 0.109, 'a3': 3.32, 'a4': 3.95, 'a5': 6.16}","{'a1': (-0.0732, 0, 0), 'a2': (0.109, 0, 0), 'a3': (3.31086, 0.206, -0.206), 'a4': (3.95, 0, 0), 'a5': (6.30765, 0.81, -0.81)}","{'a3, a5': 0.12093240105946418, 'a3, a3': 0.0426262235760845, 'a5, a5': 0.6562348102627554}","{'a3, a5': 0.7248}",164.796*(a2 + (a1 + a5*tanh(a4*((x0 - 12.5) * 0.00210526)))*gauss(a3*((x0 - 12.5) * 0.00210526))),97.58,0.7956,18,357.7,355.7,19.87,19.76,5.861999999999999e-65,1.4659999999999999e-64
15,17,(6.16*tanh(x0*(x0 + 3.95)) - 0.0733)*gauss(3.32*x0) + 0.109,a2 + (a1 + a5*tanh(x0*(a4 + x0)))*gauss(a3*x0),"{'a1': -0.0733, 'a2': 0.109, 'a3': 3.32, 'a4': 3.95, 'a5': 6.16}","{'a1': (-0.0733, 0, 0), 'a2': (0.109, 0, 0), 'a3': (3.31565, 0.206, -0.206), 'a4': (3.95, 0, 0), 'a5': (6.16661, 0.787, -0.787)}","{'a3, a5': 0.11778516235276225, 'a3, a3': 0.04257733359041846, 'a5, a5': 0.6193913265030011}","{'a3, a5': 0.7265}",164.796*(a2 + (a1 + a5*tanh(((x0 - 12.5) * 0.00210526)*(a4 + ((x0 - 12.5) * 0.00210526))))*gauss(a3*((x0 - 12.5) * 0.00210526))),96.61,0.7996,18,349.8,349.8,19.43,19.43,2.5209999999999994e-63,2.558e-63
16,18,6.2*(gauss(-3.26*x0) + 0.0394)*gauss(x0)*tanh(3.94*x0) + 0.00849,a2 + (a3 + a5*gauss(a1*x0))*gauss(x0)*tanh(a4*x0),"{'a1': -3.26, 'a2': 0.00849, 'a3': 0.24428, 'a4': 3.94, 'a5': 6.2}","{'a1': (-3.30753, 0.231, -0.231), 'a2': (0.00849, 0, 0), 'a3': (0.24428, 0, 0), 'a4': (3.94, 0, 0), 'a5': (6.35837, 0.835, -0.835)}","{'a1, a5': -0.13801113786810032, 'a1, a1': 0.053543936382641495, 'a5, a5': 0.6975751988260073}","{'a1, a5': -0.7155}",164.796*(a2 + (a3 + a5*gauss(a1*((x0 - 12.5) * 0.00210526)))*gauss(((x0 - 12.5) * 0.00210526))*tanh(a4*((x0 - 12.5) * 0.00210526))),96.02,0.802,18,341.8,340.9,18.99,18.94,1.1409999999999998e-61,1.7209999999999995e-61
17,19,5.22*(x0 + gauss(12.9*x0 - 2.38))*gauss(2.54*x0) + 0.061,a2 + (a4*x0 + a4*gauss(a1 + a5*x0))*gauss(a3*x0),"{'a1': -2.38, 'a2': 0.061, 'a3': 2.54, 'a4': 5.22, 'a5': 12.9}","{'a1': (-2.33615, 0.119, -0.119), 'a2': (0.061, 0, 0), 'a3': (2.52136, 0.0706, -0.0706), 'a4': (5.11425, 0.292, -0.292), 'a5': (12.6142, 0.692, -0.692)}","{'a1, a3': -0.0027141480119981477, 'a1, a4': -0.0230047905311895, 'a1, a5': -0.07715001880157953, 'a3, a4': 0.013013519206861135, 'a3, a5': 0.012965428776495414, 'a4, a5': 0.130057901408458, 'a1, a1': 0.014052138574875618, 'a3, a3': 0.004986965515267796, 'a4, a4': 0.08534628961386118, 'a5, a5': 0.479523639548841}","{'a1, a3': -0.3231, 'a1, a4': -0.662, 'a1, a5': -0.9369, 'a3, a4': 0.6313, 'a3, a5': 0.2654, 'a4, a5': 0.6436}",164.796*(a2 + (a4*((x0 - 12.5) * 0.00210526) + a4*gauss(a1 + a5*((x0 - 12.5) * 0.00210526)))*gauss(a3*((x0 - 12.5) * 0.00210526))),28.19,0.9829,16,54.06,53.59,3.379,3.35,5.061e-06,6.044e-06
18,20,5.18*(x0 + gauss(12.7*x0 - 2.36))*gauss(-2.54*x0) + gauss(1.68),(a4*x0 + a4*gauss(a2 + a5*x0))*gauss(a1*x0) + gauss(a3),"{'a1': -2.54, 'a2': -2.36, 'a3': 1.68, 'a4': 5.18, 'a5': 12.7}","{'a1': (-2.50739, 0.101, -0.101), 'a2': (-2.32373, 0.131, -0.131), 'a3': (1.69496, 0.118, -0.118), 'a4': (5.0898, 0.317, -0.317), 'a5': (12.5479, 0.747, -0.747)}","{'a1, a2': 0.006437162676923845, 'a1, a3': 0.008387334982126765, 'a1, a4': -0.021065433406185132, 'a1, a5': -0.03084100768864004, 'a2, a3': 0.005986766309895209, 'a2, a4': -0.02928556592054079, 'a2, a5': -0.0923547896489891, 'a3, a4': -0.012538628596737097, 'a3, a5': -0.02865332513111084, 'a4, a5': 0.16115897475348184, 'a1, a1': 0.010207370691846906, 'a2, a2': 0.01715351620819435, 'a3, a3': 0.013865480074696934, 'a4, a4': 0.10027597450485386, 'a5, a5': 0.5574738317119574}","{'a1, a2': 0.4865, 'a1, a3': 0.7038, 'a1, a4': -0.6579, 'a1, a5': -0.4088, 'a2, a3': 0.3873, 'a2, a4': -0.7052, 'a2, a5': -0.9438, 'a3, a4': -0.3352, 'a3, a5': -0.3251, 'a4, a5': 0.6806}",164.796*((a4*((x0 - 12.5) * 0.00210526) + a4*gauss(a2 + a5*((x0 - 12.5) * 0.00210526)))*gauss(a1*((x0 - 12.5) * 0.00210526)) + gauss(a3)),28.23,0.9829,15,54.04,53.45,3.603,3.563,2.586e-06,3.244e-06
19,21,5.24*(1.07*x0 + gauss(2.46 - 13.4*x0))*gauss(2.53*x0) + 0.0615,a2 + (a5*gauss(a1*x0 + a3) + a6*x0)*gauss(a4*x0),"{'a1': -13.4, 'a2': 0.0615, 'a3': 2.46, 'a4': 2.53, 'a5': 5.24, 'a6': 5.606800000000001}","{'a1': (-15.7107, 0.967, -0.967), 'a2': (0.0838707, 0.0107, -0.0107), 'a3': (2.83663, 0.163, -0.163), 'a4': (3.03882, 0.0876, -0.0876), 'a5': (4.81192, 0.252, -0.252), 'a6': (10.3855, 1.02, -1.02)}","{'a1, a2': -0.002108613866865344, 'a1, a3': -0.15407749156569756, 'a1, a4': -0.04718337532349144, 'a1, a5': -0.0757361982664528, 'a1, a6': -0.6456071145669262, 'a2, a3': 0.00039679456128797493, 'a2, a4': 0.00039795237110284954, 'a2, a5': 0.00012327925628574914, 'a2, a6': 0.0025210844692525156, 'a3, a4': 0.008375448271933499, 'a3, a5': 0.013724618790423943, 'a3, a6': 0.11051230344075898, 'a4, a5': -0.0009261559384497892, 'a4, a6': 0.07913587248702779, 'a5, a6': -0.03611033586118406, 'a1, a1': 0.9343650192944776, 'a2, a2': 0.00011438535005734289, 'a3, a3': 0.02670625848334072, 'a4, a4': 0.0076801682585341995, 'a5, a5': 0.06351520626555578, 'a6, a6': 1.0327147477278835}","{'a1, a2': -0.2038, 'a1, a3': -0.9775, 'a1, a4': -0.557, 'a1, a5': -0.3108, 'a1, a6': -0.6545, 'a2, a3': 0.2275, 'a2, a4': 0.4246, 'a2, a5': 0.04572, 'a2, a6': 0.231, 'a3, a4': 0.5866, 'a3, a5': 0.3341, 'a3, a6': 0.6647, 'a4, a5': -0.04195, 'a4, a6': 0.8857, 'a5, a6': -0.1405}",164.796*(a2 + (a5*gauss(a1*((x0 - 12.5) * 0.00210526) + a3) + a6*((x0 - 12.5) * 0.00210526))*gauss(a4*((x0 - 12.5) * 0.00210526))),12.29,0.9968,14,51.82,17.89,3.702,1.278,3.013e-06,0.2118
20,22,5.24*(gauss(2.46 - 13.4*x0) + 1.21*tanh(x0))*gauss(2.53*x0) + 0.0615,a2 + (a5*gauss(a1*x0 + a3) + a6*tanh(x0))*gauss(a4*x0),"{'a1': -13.4, 'a2': 0.0615, 'a3': 2.46, 'a4': 2.53, 'a5': 5.24, 'a6': 6.3404}","{'a1': (-15.7304, 0.964, -0.964), 'a2': (0.0837128, 0.0107, -0.0107), 'a3': (2.83658, 0.163, -0.163), 'a4': (2.98788, 0.0886, -0.0886), 'a5': (4.76237, 0.249, -0.249), 'a6': (10.4088, 1.01, -1.01)}","{'a1, a2': -0.0021016229898951043, 'a1, a3': -0.15338870846570768, 'a1, a4': -0.04753492312579543, 'a1, a5': -0.0749692062272929, 'a1, a6': -0.6412206042437352, 'a2, a3': 0.00039595132940416705, 'a2, a4': 0.0004030707337489035, 'a2, a5': 0.00012045249317824704, 'a2, a6': 0.0025167485844508467, 'a3, a4': 0.008449713812837854, 'a3, a5': 0.01355005187944655, 'a3, a6': 0.10991855140775518, 'a4, a5': -0.0009235222714908912, 'a4, a6': 0.07968096017438318, 'a5, a6': -0.035388496672023574, 'a1, a1': 0.9287875377246939, 'a2, a2': 0.00011379370162191184, 'a3, a3': 0.02662161200714269, 'a4, a4': 0.007851292646264793, 'a5, a5': 0.06183750214846086, 'a6, a6': 1.0251523839411887}","{'a1, a2': -0.2037, 'a1, a3': -0.9762, 'a1, a4': -0.5565, 'a1, a5': -0.3123, 'a1, a6': -0.6586, 'a2, a3': 0.227, 'a2, a4': 0.4252, 'a2, a5': 0.04521, 'a2, a6': 0.2329, 'a3, a4': 0.5851, 'a3, a5': 0.3339, 'a3, a6': 0.6677, 'a4, a5': -0.04186, 'a4, a6': 0.8904, 'a5, a6': -0.1407}",164.796*(a2 + (a5*gauss(a1*((x0 - 12.5) * 0.00210526) + a3) + a6*tanh(((x0 - 12.5) * 0.00210526)))*gauss(a4*((x0 - 12.5) * 0.00210526))),12.27,0.9968,14,48.47,17.76,3.462,1.268,1.097e-05,0.2181
21,23,4.88*(2*x0 + gauss(15.6*x0 - 2.8))*gauss(-2.98*x0) + 0.0832,a3 + (a4*gauss(a2 + a6*x0) + a5*x0)*gauss(a1*x0),"{'a1': -2.98, 'a2': -2.8, 'a3': 0.0832, 'a4': 4.88, 'a5': 9.76, 'a6': 15.6}","{'a1': (-3.03882, 0.0876, -0.0876), 'a2': (-2.83663, 0.163, -0.163), 'a3': (0.0838703, 0.0107, -0.0107), 'a4': (4.81193, 0.252, -0.252), 'a5': (10.3854, 1.02, -1.02), 'a6': (15.7108, 0.967, -0.967)}","{'a1, a2': 0.00837382809446914, 'a1, a3': -0.00039796681732861384, 'a1, a4': 0.0009264528872773238, 'a1, a5': -0.07912459575255028, 'a1, a6': -0.047174979327172094, 'a2, a3': -0.00039680417387880144, 'a2, a4': -0.013722945383392934, 'a2, a5': -0.11049039340786238, 'a2, a6': -0.15405075202057858, 'a3, a4': 0.0001232651022379107, 'a3, a5': 0.0025212300356197708, 'a3, a6': 0.002108709437386753, 'a4, a5': -0.03611263043233344, 'a4, a6': 0.07572977105332306, 'a5, a6': 0.6454911671126485, 'a1, a1': 0.007679157145264357, 'a2, a2': 0.02670109431384248, 'a3, a3': 0.00011438998699013612, 'a4, a4': 0.06351283841663856, 'a5, a5': 1.0325734840410266, 'a6, a6': 0.9342271640209793}","{'a1, a2': 0.5865, 'a1, a3': -0.4246, 'a1, a4': 0.04197, 'a1, a5': -0.8855, 'a1, a6': -0.5569, 'a2, a3': -0.2275, 'a2, a4': -0.3341, 'a2, a5': -0.6646, 'a2, a6': -0.9773, 'a3, a4': 0.04571, 'a3, a5': 0.231, 'a3, a6': 0.2038, 'a4, a5': -0.1405, 'a4, a6': 0.3108, 'a5, a6': 0.6544}",164.796*(a3 + (a4*gauss(a2 + a6*((x0 - 12.5) * 0.00210526)) + a5*((x0 - 12.5) * 0.00210526))*gauss(a1*((x0 - 12.5) * 0.00210526))),12.29,0.9968,14,18.8,17.89,1.343,1.278,0.1726,0.2118
22,24,4.9*(2*x0 + gauss(15.4*x0 - 2.79))*gauss(x0 + x0 + x0) + 0.0831,a2 + (a3*gauss(a1 + a5*x0) + a4*x0)*gauss(3*x0),"{'a1': -2.79, 'a2': 0.0831, 'a3': 4.9, 'a4': 9.8, 'a5': 15.4}","{'a1': (-2.78767, 0.123, -0.123), 'a2': (0.0818628, 0.00943, -0.00943), 'a3': (4.81147, 0.24, -0.24), 'a4': (9.97482, 0.438, -0.438), 'a5': (15.4212, 0.743, -0.743)}","{'a1, a2': 2.5127294152036457e-05, 'a1, a3': -0.013129072582173603, 'a1, a4': -0.020432412950077757, 'a1, a5': -0.08765406104343254, 'a2, a3': 0.000166086984752573, 'a2, a4': -0.0014686812047159713, 'a2, a5': -0.0002628331962993874, 'a3, a4': -0.02374948236062573, 'a3, a5': 0.07246880615388342, 'a4, a5': 0.13582041028315425, 'a1, a1': 0.015029794959996077, 'a2, a2': 8.892784541456234e-05, 'a3, a3': 0.05745133898122551, 'a4, a4': 0.19163106437396463, 'a5, a5': 0.5519162576072423}","{'a1, a2': 0.02166, 'a1, a3': -0.4448, 'a1, a4': -0.3793, 'a1, a5': -0.9591, 'a2, a3': 0.07339, 'a2, a4': -0.3556, 'a2, a5': -0.03751, 'a3, a4': -0.2259, 'a3, a5': 0.4064, 'a4, a5': 0.4174}",164.796*(a2 + (a3*gauss(a1 + a5*((x0 - 12.5) * 0.00210526)) + a4*((x0 - 12.5) * 0.00210526))*gauss(3*((x0 - 12.5) * 0.00210526))),13.09,0.9963,15,18.36,18.06,1.224,1.204,0.2444,0.2597
23,25,4.91*(2*x0 + gauss((x0 - 5.33)*(3*x0 - 0.541)))*gauss(3.0*x0) + 0.083,a3 + (a5*gauss((a1 + x0)*(a2 + 3*x0)) + a6*x0)*gauss(a4*x0),"{'a1': -5.33, 'a2': -0.541, 'a3': 0.083, 'a4': 3.0, 'a5': 4.91, 'a6': 9.82}","{'a1': (-5.36131, 0.311, -0.311), 'a2': (-0.540169, 0.00724, -0.00724), 'a3': (0.0839784, 0.0104, -0.0104), 'a4': (3.03438, 0.0856, -0.0856), 'a5': (4.80136, 0.244, -0.244), 'a6': (10.3024, 0.992, -0.992)}","{'a1, a2': -0.000828616554897341, 'a1, a3': -0.000616533306577185, 'a1, a4': -0.014692158729633009, 'a1, a5': -0.023337029965144678, 'a1, a6': -0.2027702688608407, 'a2, a3': -3.5861521963668427e-06, 'a2, a4': 1.8138794397579275e-05, 'a2, a5': -2.395326166302513e-05, 'a2, a6': 0.0010227529000772925, 'a3, a4': 0.0003734180087052513, 'a3, a5': 0.00010377406298836786, 'a3, a6': 0.002311583522730813, 'a4, a5': -0.0010214776355456506, 'a4, a6': 0.07541444824330895, 'a5, a6': -0.035555491313618744, 'a1, a1': 0.09684444596894926, 'a2, a2': 5.247343090070028e-05, 'a3, a3': 0.00010850622558089006, 'a4, a4': 0.007330363723145014, 'a5, a5': 0.059720842173285424, 'a6, a6': 0.9844103294295807}","{'a1, a2': -0.368, 'a1, a3': -0.1906, 'a1, a4': -0.5519, 'a1, a5': -0.3075, 'a1, a6': -0.6573, 'a2, a3': -0.04763, 'a2, a4': 0.02927, 'a2, a5': -0.01356, 'a2, a6': 0.1424, 'a3, a4': 0.4195, 'a3, a5': 0.04089, 'a3, a6': 0.2241, 'a4, a5': -0.04891, 'a4, a6': 0.8881, 'a5, a6': -0.1469}",164.796*(a3 + (a5*gauss((a1 + ((x0 - 12.5) * 0.00210526))*(a2 + 3*((x0 - 12.5) * 0.00210526))) + a6*((x0 - 12.5) * 0.00210526))*gauss(a4*((x0 - 12.5) * 0.00210526))),11.55,0.9971,14,17.49,17.04,1.249,1.217,0.231,0.254
24,27,4.88*(2*x0 + gauss((2*x0 - 5.44)*(3*x0 - 0.539)))*gauss(-2.98*x0) + 0.0832,a4 + (a5*gauss((a1 + 2*x0)*(a3 + 3*x0)) + a6*x0)*gauss(a2*x0),"{'a1': -5.44, 'a2': -2.98, 'a3': -0.539, 'a4': 0.0832, 'a5': 4.88, 'a6': 9.76}","{'a1': (-5.49746, 0.302, -0.302), 'a2': (-3.03106, 0.0838, -0.0838), 'a3': (-0.538484, 0.00704, -0.00704), 'a4': (0.084116, 0.0102, -0.0102), 'a5': (4.7937, 0.238, -0.238), 'a6': (10.2335, 0.972, -0.972)}","{'a1, a2': 0.013832929014564078, 'a1, a3': -0.0007369999713624318, 'a1, a4': -0.0005453155714269475, 'a1, a5': -0.021691797535915876, 'a1, a6': -0.19288134784151384, 'a2, a3': -9.717541791781515e-06, 'a2, a4': -0.0003523200123329917, 'a2, a5': 0.0011108007423073305, 'a2, a6': -0.07231508895554199, 'a3, a4': -3.993950921551119e-06, 'a3, a5': -3.687170246442585e-05, 'a3, a6': 0.0009021417791207656, 'a4, a5': 8.748901281838547e-05, 'a4, a6': 0.002135771317945299, 'a5, a6': -0.03518021647314156, 'a1, a1': 0.09115463793373392, 'a2, a2': 0.0070301314632224155, 'a3, a3': 4.954179962070746e-05, 'a4, a4': 0.0001034428080829303, 'a5, a5': 0.05653007373559489, 'a6, a6': 0.9455084269193129}","{'a1, a2': 0.5466, 'a1, a3': -0.3466, 'a1, a4': -0.177, 'a1, a5': -0.3018, 'a1, a6': -0.6571, 'a2, a3': -0.01647, 'a2, a4': -0.4122, 'a2, a5': 0.05569, 'a2, a6': -0.8878, 'a3, a4': -0.05562, 'a3, a5': -0.02201, 'a3, a6': 0.1318, 'a4, a5': 0.03604, 'a4, a6': 0.2154, 'a5, a6': -0.1521}",164.796*(a4 + (a5*gauss((a1 + 2*((x0 - 12.5) * 0.00210526))*(a3 + 3*((x0 - 12.5) * 0.00210526))) + a6*((x0 - 12.5) * 0.00210526))*gauss(a2*((x0 - 12.5) * 0.00210526))),10.77,0.9975,14,16.88,16.31,1.206,1.165,0.2627,0.2951
25,30,4.8*(x0 + gauss((3*x0 - 5.42)*(3*x0 - 0.541)) + tanh(x0))*gauss(-2.97*x0) + 0.0874,a4 + (a5*x0 + a5*gauss((a1 + 3*x0)*(a3 + 3*x0)) + a5*tanh(x0))*gauss(a2*x0),"{'a1': -5.42, 'a2': -2.97, 'a3': -0.541, 'a4': 0.0874, 'a5': 4.8}","{'a1': (-5.54134, 0.244, -0.244), 'a2': (-2.95944, 0.0516, -0.0516), 'a3': (-0.537037, 0.0065, -0.0065), 'a4': (0.0827012, 0.00967, -0.00967), 'a5': (4.81531, 0.185, -0.185)}","{'a1, a2': 0.004608138751048928, 'a1, a3': -0.00047663614585548324, 'a1, a4': -0.00027304497844066736, 'a1, a5': -0.032172798706089356, 'a2, a3': 4.656981384724207e-05, 'a2, a4': -0.00023384619009527208, 'a2, a5': -0.006617099309542952, 'a3, a4': -5.572816762334045e-06, 'a3, a5': 4.651234893618705e-05, 'a4, a5': 0.00028588472966874305, 'a1, a1': 0.0593312985322265, 'a2, a2': 0.002658292021924294, 'a3, a3': 4.2213907554851e-05, 'a4, a4': 9.352149564104584e-05, 'a5, a5': 0.03437627684526634}","{'a1, a2': 0.366, 'a1, a3': -0.3005, 'a1, a4': -0.1157, 'a1, a5': -0.7127, 'a2, a3': 0.1388, 'a2, a4': -0.4687, 'a2, a5': -0.6932, 'a3, a4': -0.08866, 'a3, a5': 0.03868, 'a4, a5': 0.1598}",164.796*(a4 + (a5*((x0 - 12.5) * 0.00210526) + a5*gauss((a1 + 3*((x0 - 12.5) * 0.00210526))*(a3 + 3*((x0 - 12.5) * 0.00210526))) + a5*tanh(((x0 - 12.5) * 0.00210526)))*gauss(a2*((x0 - 12.5) * 0.00210526))),10.87,0.9975,15,16.63,15.89,1.109,1.059,0.3416,0.3896
26,31,4.9*(x0 + gauss(15.4*x0 - 2.79) + tanh(x0))*gauss(x0 + x0 + x0) + 0.0831*gauss(x0)*exp(x0),a2*gauss(x0)*exp(x0) + (a3*x0 + a3*gauss(a1 + a4*x0) + a3*tanh(x0))*gauss(3*x0),"{'a1': -2.79, 'a2': 0.0831, 'a3': 4.9, 'a4': 15.4}","{'a1': (-2.78766, 0.108, -0.108), 'a2': (0.0789064, 0.00739, -0.00739), 'a3': (4.90299, 0.13, -0.13), 'a4': (15.3975, 0.655, -0.655)}","{'a1, a2': 4.953901167418034e-05, 'a1, a3': -0.009422901734167287, 'a1, a4': -0.06835573066306196, 'a2, a3': -0.0002626717458759394, 'a2, a4': -0.00030439751365623135, 'a3, a4': 0.056891423287699486, 'a1, a1': 0.011705260298489879, 'a2, a2': 5.465672874722979e-05, 'a3, a3': 0.01691881595029375, 'a4, a4': 0.42960476015017013}","{'a1, a2': 0.06207, 'a1, a3': -0.6711, 'a1, a4': -0.9663, 'a2, a3': -0.2734, 'a2, a4': -0.06289, 'a3, a4': 0.6681}",164.796*(a2*gauss(((x0 - 12.5) * 0.00210526))*exp(((x0 - 12.5) * 0.00210526)) + (a3*((x0 - 12.5) * 0.00210526) + a3*gauss(a1 + a4*((x0 - 12.5) * 0.00210526)) + a3*tanh(((x0 - 12.5) * 0.00210526)))*gauss(3*((x0 - 12.5) * 0.00210526))),13.3,0.9962,16,15.79,15.45,0.9867,0.9657,0.4679,0.4919
