,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before refit),Chi2,Chi2/NDF (before refit),Chi2/NDF
24,29,(5.19*x0 + 5.19*gauss(12.6*x0 - 2.37))*gauss(2.6*x0) + 0.0693,a2 + (a4*x0 + a4*gauss(a1 + a5*x0))*gauss(a3*x0),"{'a1': -2.37, 'a2': 0.0693, 'a3': 2.6, 'a4': 5.19, 'a5': 12.6}","{'a1': (-2.32371, 0.147573, -0.170975), 'a2': (0.0565344, 0.0226872, -0.0241836), 'a3': (2.50739, 0.105742, -0.102547), 'a4': (5.08976, 0.371045, -0.346221), 'a5': (12.5477, 1.04326, -0.905293)}","{'a1, a2': -0.3875, 'a1, a3': -0.4865, 'a1, a4': -0.7052, 'a1, a5': -0.9437, 'a2, a3': 0.7042, 'a2, a4': 0.3354, 'a2, a5': 0.3253, 'a3, a4': 0.658, 'a3, a5': 0.4088, 'a4, a5': 0.6805}",164.796*(a2 + (a4*((x0 - 12.5) * 0.00210526) + a4*gauss(a1 + a5*((x0 - 12.5) * 0.00210526)))*gauss(a3*((x0 - 12.5) * 0.00210526))),28.23,0.9829,15,58.33,53.45,3.889,3.563
25,30,(5.19*x0 + 5.19*gauss(12.5*x0 - 2.38) + tanh(x0))*gauss(-2.65*x0) + 0.0693,a3 + (a4*x0 + a4*gauss(a2 + a5*x0) + tanh(x0))*gauss(a1*x0),"{'a1': -2.65, 'a2': -2.38, 'a3': 0.0693, 'a4': 5.19, 'a5': 12.5}","{'a1': (-2.6151, 0.0824401, -0.0855137), 'a2': (-2.40066, 0.139397, -0.158472), 'a3': (0.0637514, 0.0182617, -0.018964), 'a4': (5.02225, 0.327309, -0.308403), 'a5': (13.0363, 0.966946, -0.853034)}","{'a1, a2': 0.431, 'a1, a3': -0.6504, 'a1, a4': -0.6308, 'a1, a5': -0.3569, 'a2, a3': -0.3228, 'a2, a4': -0.6987, 'a2, a5': -0.9451, 'a3, a4': 0.2848, 'a3, a5': 0.2692, 'a4, a5': 0.6726}",164.796*(a3 + (a4*((x0 - 12.5) * 0.00210526) + a4*gauss(a2 + a5*((x0 - 12.5) * 0.00210526)) + tanh(((x0 - 12.5) * 0.00210526)))*gauss(a1*((x0 - 12.5) * 0.00210526))),24.4,0.9872,15,51.84,39.49,3.456,2.633
26,31,(4.47*gauss(16.2*x0 - 2.91) + 4.47*tanh(2.6*x0))*gauss(2.79*x0) + 0.0881,a2 + (a5*gauss(a1 + a6*x0) + a5*tanh(a3*x0))*gauss(a4*x0),"{'a1': -2.91, 'a2': 0.0881, 'a3': 2.6, 'a4': 2.79, 'a5': 4.47, 'a6': 16.2}","{'a1': (-2.9061, 0.19844, -0.223834), 'a2': (0.0821272, 0.0105271, -0.0107097), 'a3': (2.5045, 0.459201, -0.381062), 'a4': (2.83588, 0.0699127, -0.0725683), 'a5': (4.52553, 0.280009, -0.289734), 'a6': (16.2013, 1.34727, -1.20793)}","{'a1, a2': -0.1901, 'a1, a3': -0.4603, 'a1, a4': -0.5448, 'a1, a5': -0.1423, 'a1, a6': -0.9773, 'a2, a3': 0.08838, 'a2, a4': 0.4712, 'a2, a5': 0.06093, 'a2, a6': 0.1681, 'a3, a4': 0.3221, 'a3, a5': -0.7131, 'a3, a6': 0.4618, 'a4, a5': 0.2491, 'a4, a6': 0.5061, 'a5, a6': 0.1258}",164.796*(a2 + (a5*gauss(a1 + a6*((x0 - 12.5) * 0.00210526)) + a5*tanh(a3*((x0 - 12.5) * 0.00210526)))*gauss(a4*((x0 - 12.5) * 0.00210526))),11.43,0.9972,14,20.46,15.74,1.462,1.124
27,32,(4.47*gauss(16.2*x0 - 2.91) + 4.47*tanh(2.6*x0))*gauss(2.79*x0) + gauss(1.61),(a5*gauss(a1 + a6*x0) + a5*tanh(a3*x0))*gauss(a4*x0) + gauss(a2),"{'a1': -2.91, 'a2': 1.61, 'a3': 2.6, 'a4': 2.79, 'a5': 4.47, 'a6': 16.2}","{'a1': (-2.9061, 0.19844, -0.223834), 'a2': (1.58098, 0.0435889, -0.0386158), 'a3': (2.5045, 0.459201, -0.381062), 'a4': (2.83588, 0.0699127, -0.0725683), 'a5': (4.52553, 0.280009, -0.289734), 'a6': (16.2013, 1.34727, -1.20793)}","{'a1, a2': 0.1902, 'a1, a3': -0.4603, 'a1, a4': -0.5448, 'a1, a5': -0.1423, 'a1, a6': -0.9773, 'a2, a3': -0.0884, 'a2, a4': -0.4713, 'a2, a5': -0.06095, 'a2, a6': -0.1681, 'a3, a4': 0.3221, 'a3, a5': -0.7131, 'a3, a6': 0.4618, 'a4, a5': 0.2491, 'a4, a6': 0.5061, 'a5, a6': 0.1258}",164.796*((a5*gauss(a1 + a6*((x0 - 12.5) * 0.00210526)) + a5*tanh(a3*((x0 - 12.5) * 0.00210526)))*gauss(a4*((x0 - 12.5) * 0.00210526)) + gauss(a2)),11.43,0.9972,14,17.9,15.74,1.279,1.124
28,33,(gauss(x0) + 3.33)*(gauss(16.2*x0 - 2.91) + tanh(2.79*x0))*gauss(2.79*x0) + 0.0782,a2 + (a4 + gauss(x0))*(gauss(a1 + a5*x0) + tanh(a3*x0))*gauss(a3*x0),"{'a1': -2.91, 'a2': 0.0782, 'a3': 2.79, 'a4': 3.33, 'a5': 16.2}","{'a1': (-2.97705, 0.177075, -0.197737), 'a2': (0.0822246, 0.0101413, -0.0102535), 'a3': (2.80913, 0.065844, -0.0650603), 'a4': (3.3692, 0.172734, -0.167607), 'a5': (16.6323, 1.18153, -1.06814)}","{'a1, a2': -0.1856, 'a1, a3': -0.5429, 'a1, a4': -0.7845, 'a1, a5': -0.9747, 'a2, a3': 0.4551, 'a2, a4': 0.1032, 'a2, a5': 0.1637, 'a3, a4': 0.642, 'a3, a5': 0.5019, 'a4, a5': 0.7683}",164.796*(a2 + (a4 + gauss(((x0 - 12.5) * 0.00210526)))*(gauss(a1 + a5*((x0 - 12.5) * 0.00210526)) + tanh(a3*((x0 - 12.5) * 0.00210526)))*gauss(a3*((x0 - 12.5) * 0.00210526))),11.26,0.9973,15,16.46,16.13,1.097,1.075
29,37,(gauss(x0) + 3.46)*(gauss(16.2*x0 - 2.91) + tanh(2.6*x0))*gauss(2.79*x0) + gauss(1.61),(a5 + gauss(x0))*(gauss(a1 + a6*x0) + tanh(a3*x0))*gauss(a4*x0) + gauss(a2),"{'a1': -2.91, 'a2': 1.61, 'a3': 2.6, 'a4': 2.79, 'a5': 3.46, 'a6': 16.2}","{'a1': (-2.90836, 0.197604, -0.222645), 'a2': (1.5819, 0.043533, -0.038565), 'a3': (2.51153, 0.457196, -0.379831), 'a4': (2.8009, 0.0707005, -0.0729538), 'a5': (3.52567, 0.278978, -0.288582), 'a6': (16.2129, 1.34007, -1.20282)}","{'a1, a2': 0.1898, 'a1, a3': -0.4578, 'a1, a4': -0.5415, 'a1, a5': -0.1403, 'a1, a6': -0.9808, 'a2, a3': -0.08697, 'a2, a4': -0.4716, 'a2, a5': -0.06263, 'a2, a6': -0.1695, 'a3, a4': 0.2889, 'a3, a5': -0.7135, 'a3, a6': 0.4636, 'a4, a5': 0.2841, 'a4, a6': 0.5077, 'a5, a6': 0.1253}",164.796*((a5 + gauss(((x0 - 12.5) * 0.00210526)))*(gauss(a1 + a6*((x0 - 12.5) * 0.00210526)) + tanh(a3*((x0 - 12.5) * 0.00210526)))*gauss(a4*((x0 - 12.5) * 0.00210526)) + gauss(a2)),11.41,0.9972,14,16.27,15.58,1.162,1.113
30,38,(2*gauss(x0) + 2.6)*(gauss(16.7*x0 - 3.0) + tanh(2.6*x0))*gauss(2.79*x0) + 0.0823,a2 + (a3 + 2*gauss(x0))*(gauss(a1 + a5*x0) + tanh(a3*x0))*gauss(a4*x0),"{'a1': -3.0, 'a2': 0.0823, 'a3': 2.6, 'a4': 2.79, 'a5': 16.7}","{'a1': (-2.91085, 0.179854, -0.201758), 'a2': (0.0817535, 0.010069, -0.0102035), 'a3': (2.52177, 0.127816, -0.12661), 'a4': (2.76347, 0.0691651, -0.069336), 'a5': (16.2271, 1.21345, -1.09022)}","{'a1, a2': -0.1893, 'a1, a3': -0.7999, 'a1, a4': -0.5508, 'a1, a5': -0.9773, 'a2, a3': 0.1971, 'a2, a4': 0.4693, 'a2, a5': 0.1677, 'a3, a4': 0.7624, 'a3, a5': 0.7848, 'a4, a5': 0.5145}",164.796*(a2 + (a3 + 2*gauss(((x0 - 12.5) * 0.00210526)))*(gauss(a1 + a5*((x0 - 12.5) * 0.00210526)) + tanh(a3*((x0 - 12.5) * 0.00210526)))*gauss(a4*((x0 - 12.5) * 0.00210526))),11.39,0.9972,15,16.05,15.48,1.07,1.032
31,40,(4.67*gauss(16.2*x0 - 2.91) + 4.67*tanh(2.6*x0))*gauss(x0*(3.14 - 0.497*x0)) + gauss(1.61),(a6*gauss(a1 + a7*x0) + a6*tanh(a4*x0))*gauss(x0*(a2*x0 + a5)) + gauss(a3),"{'a1': -2.91, 'a2': -0.497, 'a3': 1.61, 'a4': 2.6, 'a5': 3.14, 'a6': 4.67, 'a7': 16.2}","{'a1': (-3.09142, 0.178392, -0.196215), 'a2': (-1.0092, 0.308854, -0.257939), 'a3': (1.683, 0.0859761, -0.0634314), 'a4': (2.88705, 0.342927, -0.317683), 'a5': (3.39828, 0.153565, -0.178039), 'a6': (4.7935, 0.271588, -0.267749), 'a7': (17.0859, 1.15634, -1.06047)}","{'a1, a2': 0.3974, 'a1, a3': -0.1544, 'a1, a4': -0.5018, 'a1, a5': -0.4878, 'a1, a6': -0.2772, 'a1, a7': -0.9838, 'a2, a3': -0.7257, 'a2, a4': -0.3796, 'a2, a5': -0.9671, 'a2, a6': -0.3799, 'a2, a7': -0.3314, 'a3, a4': 0.2579, 'a3, a5': 0.5851, 'a3, a6': 0.1709, 'a3, a7': 0.1205, 'a4, a5': 0.3636, 'a4, a6': -0.5021, 'a4, a7': 0.484, 'a5, a6': 0.4823, 'a5, a7': 0.4175, 'a6, a7': 0.2457}",164.796*((a6*gauss(a1 + a7*((x0 - 12.5) * 0.00210526)) + a6*tanh(a4*((x0 - 12.5) * 0.00210526)))*gauss(((x0 - 12.5) * 0.00210526)*(a2*((x0 - 12.5) * 0.00210526) + a5)) + gauss(a3)),11.17,0.9973,13,13.0,9.549,0.9999,0.7345
32,45,(gauss(16.2*x0 - 2.91) + tanh(2.6*x0))*(exp(0.628*x0) + 3.55)*gauss(x0*(3.14 - 0.497*x0)) + gauss(1.61),(a7 + exp(a3*x0))*(gauss(a1 + a8*x0) + tanh(a5*x0))*gauss(x0*(a2*x0 + a6)) + gauss(a4),"{'a1': -2.91, 'a2': -0.497, 'a3': 0.628, 'a4': 1.61, 'a5': 2.6, 'a6': 3.14, 'a7': 3.55, 'a8': 16.2}","{'a1': (-2.91, 0, 0), 'a2': (-1.73439, 0.849236, -0.380054), 'a3': (8.1483, 1.85603, -6.03446), 'a4': (1.69478, 0.0841836, -0.0656441), 'a5': (2.92734, 0.370693, -0.311785), 'a6': (5.18466, 0.58746, -1.61646), 'a7': (2.87508, 0.656925, -0.422198), 'a8': (16.1831, 0.250596, -0.247167)}","{'a2, a3': -0.9419, 'a2, a4': -0.5851, 'a2, a5': -0.132, 'a2, a6': -0.9766, 'a2, a7': 0.5614, 'a2, a8': -0.3301, 'a3, a4': 0.3712, 'a3, a5': -0.05019, 'a3, a6': 0.9905, 'a3, a7': -0.5619, 'a3, a8': 0.4304, 'a4, a5': 0.2407, 'a4, a6': 0.4392, 'a4, a7': -0.1826, 'a4, a8': 0.03313, 'a5, a6': 0.03386, 'a5, a7': -0.6382, 'a5, a8': 0.06357, 'a6, a7': -0.5825, 'a6, a8': 0.399, 'a7, a8': -0.4524}",164.796*((a7 + exp(a3*((x0 - 12.5) * 0.00210526)))*(gauss(a1 + a8*((x0 - 12.5) * 0.00210526)) + tanh(a5*((x0 - 12.5) * 0.00210526)))*gauss(((x0 - 12.5) * 0.00210526)*(a2*((x0 - 12.5) * 0.00210526) + a6)) + gauss(a4)),10.89,0.9975,13,11.93,8.759,0.9177,0.6737
33,50,(gauss(2.29*x0) + gauss(x0*(4.76*x0 + 1.72)))*(2.03*gauss(15.2*x0 - 2.76) + 2.03*tanh(2.79*x0)) + 0.0645,a2 + (a4*gauss(a1 + a8*x0) + a4*tanh(a6*x0))*(gauss(a5*x0) + gauss(x0*(a3 + a7*x0))),"{'a1': -2.76, 'a2': 0.0645, 'a3': 1.72, 'a4': 2.03, 'a5': 2.29, 'a6': 2.79, 'a7': 4.76, 'a8': 15.2}","{'a1': (-3.11738, 0.131737, -0.139303), 'a2': (0.0639039, 0.00665906, -0.00673449), 'a3': (1.72, 0, 0), 'a4': (2.04814, 0.0720737, -0.0718144), 'a5': (2.34437, 0.0387574, -0.0378282), 'a6': (3.1714, 0.287156, -0.275514), 'a7': (5.02149, 0.441563, -0.418922), 'a8': (17.5956, 0.809277, -0.775075)}","{'a1, a2': 0.001817, 'a1, a4': -0.05058, 'a1, a5': -0.08953, 'a1, a6': -0.5627, 'a1, a7': -0.5247, 'a1, a8': -0.9818, 'a2, a4': 0.1291, 'a2, a5': 0.658, 'a2, a6': -0.1621, 'a2, a7': -0.2096, 'a2, a8': 0.001268, 'a4, a5': 0.4385, 'a4, a6': -0.702, 'a4, a7': 0.04042, 'a4, a8': 0.0551, 'a5, a6': -0.3051, 'a5, a7': -0.2875, 'a5, a8': 0.09997, 'a6, a7': 0.5014, 'a6, a8': 0.5438, 'a7, a8': 0.4767}",164.796*(a2 + (a4*gauss(a1 + a8*((x0 - 12.5) * 0.00210526)) + a4*tanh(a6*((x0 - 12.5) * 0.00210526)))*(gauss(a5*((x0 - 12.5) * 0.00210526)) + gauss(((x0 - 12.5) * 0.00210526)*(a3 + a7*((x0 - 12.5) * 0.00210526))))),6.529,0.9991,13,10.43,4.212,0.8022,0.324
