,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before refit),Chi2,Chi2/NDF (before refit),Chi2/NDF
0,1,0.0234,a1,{'a1': 0.0234},"{'a1': (0.0234, 0, 0)}",{},1.0*(a1),8.911,-0.3049,139,3836.0,3836.0,27.6,27.6
1,3,0.00324**x0,a1**x0,{'a1': 0.00324},"{'a1': (0.00324, 0, 0)}",{},1.0*(a1**((x0 - 503.0) * 0.000286615)),8.517,-0.192,139,3359.0,3359.0,24.17,24.17
2,5,1.17e-6**(x0 - 0.216),a2**(a1 + x0),"{'a1': -0.216, 'a2': 1.17e-06}","{'a1': (-0.216, 0, 0), 'a2': (6.37383e-07, 1.05e-07, -1.05e-07)}",{},1.0*(a2**(a1 + ((x0 - 503.0) * 0.000286615))),2.391,0.9061,138,450.0,414.8,3.261,3.006
3,6,1.17e-6**(x0 - 0.216),a2**(a1 + x0),"{'a1': -0.216, 'a2': 1.17e-06}","{'a1': (-0.216, 0, 0), 'a2': (6.37383e-07, 1.05e-07, -1.05e-07)}",{},1.0*(a2**(a1 + ((x0 - 503.0) * 0.000286615))),2.391,0.9061,138,450.0,414.8,3.261,3.006
4,7,0.0643**(8.38*x0 - 1.25),a2**(a1 + a3*x0),"{'a1': -1.25, 'a2': 0.0643, 'a3': 8.38}","{'a1': (-1.25, 0, 0), 'a2': (0.0641613, 0.000958765, -0.000934408), 'a3': (8.31967, 0.118101, -0.116312)}","{'a2, a3': -0.5612}",1.0*(a2**(a1 + a3*((x0 - 503.0) * 0.000286615))),0.7981,0.9895,137,70.01,69.71,0.511,0.5089
5,8,1.55e-6**(tanh(1.74*x0) - 0.258),a2**(a1 + tanh(a3*x0)),"{'a1': -0.258, 'a2': 1.55e-06, 'a3': 1.74}","{'a1': (-0.413641, 0.0184, -0.0184), 'a2': (0.000236284, 8.6e-05, -8.6e-05), 'a3': (2.84537, 0.144, -0.144)}","{'a1, a2': -0.9936, 'a1, a3': -0.9706, 'a2, a3': 0.9534}",1.0*(a2**(a1 + tanh(a3*((x0 - 503.0) * 0.000286615)))),0.7573,0.9906,136,62.47,52.12,0.4593,0.3832
6,9,1.17e-6**(x0/(x0 + 0.475) - 0.258),a2**(a1 + x0/(a3 + x0)),"{'a1': -0.258, 'a2': 1.17e-06, 'a3': 0.475}","{'a1': (-0.258, 0, 0), 'a2': (1.15963e-06, 6.87025e-08, -6.4446e-08), 'a3': (0.474098, 0.00535907, -0.00534032)}","{'a2, a3': 0.5325}",1.0*(a2**(a1 + ((x0 - 503.0) * 0.000286615)/(a3 + ((x0 - 503.0) * 0.000286615)))),0.7704,0.9902,137,52.39,52.38,0.3824,0.3823
7,10,1.44e-6**(x0/tanh(x0 + 0.574) - 0.258),a2**(a1 + x0/tanh(a3 + x0)),"{'a1': -0.258, 'a2': 1.44e-06, 'a3': 0.574}","{'a1': (-0.258, 0, 0), 'a2': (1.38138e-06, 8.62169e-08, -8.05214e-08), 'a3': (0.568455, 0.00930467, -0.00910735)}","{'a2, a3': 0.5861}",1.0*(a2**(a1 + ((x0 - 503.0) * 0.000286615)/tanh(a3 + ((x0 - 503.0) * 0.000286615)))),0.7457,0.9909,137,49.63,49.44,0.3623,0.3609
8,11,(0.151*x0 + 0.0227)**(5.67*x0 - 0.925),(a2 + a3*x0)**(a1 + a4*x0),"{'a1': -0.925, 'a2': 0.0227, 'a3': 0.151, 'a4': 5.67}","{'a1': (-0.925, 0, 0), 'a2': (0.022644, 0.00043315, -0.000422389), 'a3': (0.163081, 0.017172, -0.0177329), 'a4': (5.62983, 0.0743751, -0.0708593)}","{'a2, a3': -0.5207, 'a2, a4': -0.09997, 'a3, a4': -0.463}",1.0*((a2 + a3*((x0 - 503.0) * 0.000286615))**(a1 + a4*((x0 - 503.0) * 0.000286615))),0.7516,0.9907,136,46.98,46.79,0.3454,0.344
9,12,(0.138*tanh(x0 + 0.139))**(5.44*x0 - 0.885),(a2*tanh(a3 + x0))**(a1 + a4*x0),"{'a1': -0.885, 'a2': 0.138, 'a3': 0.139, 'a4': 5.44}","{'a1': (-0.885, 0, 0), 'a2': (0.155304, 0.0160598, -0.016461), 'a3': (0.123028, 0.0163689, -0.0129489), 'a4': (5.36031, 0.0734942, -0.0698543)}","{'a2, a3': -0.9888, 'a2, a4': -0.5034, 'a3, a4': 0.4395}",1.0*((a2*tanh(a3 + ((x0 - 503.0) * 0.000286615)))**(a1 + a4*((x0 - 503.0) * 0.000286615))),0.7553,0.9906,136,47.5,46.98,0.3493,0.3454
