,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before refit),Chi2,Chi2/NDF (before refit),Chi2/NDF
0,1,9.06e-5,a1,{'a1': 9.06e-05},"{'a1': (9.06e-05, 0, 0)}",{},1.0*(a1),1.729,-0.2215,37,318800.0,318800.0,8617.0,8617.0
1,3,1.11e-5**x0,a1**x0,{'a1': 1.11e-05},"{'a1': (1.11e-05, 0, 0)}",{},1.0*(a1**((x0 - 1568.5) * 0.000136221)),1.417,0.1801,37,184700.0,184700.0,4992.0,4992.0
2,5,2.27*1.32e-5**x0,a1**x0*a2,"{'a1': 1.32e-05, 'a2': 2.27}","{'a1': (1.32e-05, 0, 0), 'a2': (2.21589, 0.302, -0.302)}",{},1.0*(a1**((x0 - 1568.5) * 0.000136221)*a2),1.055,0.545,36,127400.0,127300.0,3538.0,3535.0
3,6,3.98e-5**(exp(x0) - 1.09),a2**(a1 + exp(x0)),"{'a1': -1.09, 'a2': 3.98e-05}","{'a1': (-1.08662, 0.0116, -0.0116), 'a2': (3.98e-05, 0, 0)}",{},1.0*(a2**(a1 + exp(((x0 - 1568.5) * 0.000136221)))),0.996,0.5947,36,105800.0,105500.0,2939.0,2932.0
4,7,3.98e-5**(2.31*x0 - 0.184),a2**(a1 + a3*x0),"{'a1': -0.184, 'a2': 3.98e-05, 'a3': 2.31}","{'a1': (-0.184, 0, 0), 'a2': (3.41605e-05, 2.65311e-06, -2.44059e-06), 'a3': (2.2813, 0.018873, -0.0185382)}","{'a2, a3': -0.07566}",1.0*(a2**(a1 + a3*((x0 - 1568.5) * 0.000136221))),0.06455,0.9983,35,1210.0,999.7,34.56,28.56
5,8,3.98e-5**(2.31*tanh(x0) - 0.184),a2**(a1 + a3*tanh(x0)),"{'a1': -0.184, 'a2': 3.98e-05, 'a3': 2.31}","{'a1': (-0.184, 0, 0), 'a2': (3.38015e-05, 2.37787e-06, -2.20425e-06), 'a3': (2.28928, 0.0171186, -0.0168388)}","{'a2, a3': -0.06891}",1.0*(a2**(a1 + a3*tanh(((x0 - 1568.5) * 0.000136221)))),0.06185,0.9984,35,1022.0,830.9,29.19,23.74
6,9,9.17e-5**(2*x0)/(x0 + 0.15),a1**(2*x0)/(a2 + x0),"{'a1': 9.17e-05, 'a2': 0.15}","{'a1': (9.57826e-05, 6.93317e-06, -6.53445e-06), 'a2': (0.147163, 0.00127989, -0.00126255)}","{'a1, a2': 0.55}",1.0*(a1**(2*((x0 - 1568.5) * 0.000136221))/(a2 + ((x0 - 1568.5) * 0.000136221))),0.03473,0.9995,35,503.0,389.9,14.37,11.14
7,10,9.17e-5**(2*x0)/tanh(x0 + 0.15),a1**(2*x0)/tanh(a2 + x0),"{'a1': 9.17e-05, 'a2': 0.15}","{'a1': (8.83075e-05, 6.24777e-06, -5.89787e-06), 'a2': (0.148194, 0.00128669, -0.00126909)}","{'a1, a2': 0.5465}",1.0*(a1**(2*((x0 - 1568.5) * 0.000136221))/tanh(a2 + ((x0 - 1568.5) * 0.000136221))),0.03432,0.9995,35,400.2,377.6,11.44,10.79
8,11,9.17e-5**(x0 + tanh(x0))/tanh(x0 + 0.15),a1**(x0 + tanh(x0))/tanh(a2 + x0),"{'a1': 9.17e-05, 'a2': 0.15}","{'a1': (8.62319e-05, 5.53848e-06, -5.25738e-06), 'a2': (0.148047, 0.00117234, -0.00115778)}","{'a1, a2': 0.5455}",1.0*(a1**(((x0 - 1568.5) * 0.000136221) + tanh(((x0 - 1568.5) * 0.000136221)))/tanh(a2 + ((x0 - 1568.5) * 0.000136221))),0.03296,0.9996,35,341.4,315.8,9.756,9.024
9,12,9.17e-5**(2*tanh(x0))/tanh(x0 + 0.15),a1**(2*tanh(x0))/tanh(a2 + x0),"{'a1': 9.17e-05, 'a2': 0.15}","{'a1': (8.39448e-05, 4.79584e-06, -4.57984e-06), 'a2': (0.14787, 0.00104783, -0.0010363)}","{'a1, a2': 0.5388}",1.0*(a1**(2*tanh(((x0 - 1568.5) * 0.000136221)))/tanh(a2 + ((x0 - 1568.5) * 0.000136221))),0.03137,0.9996,35,287.8,254.7,8.222,7.278
10,14,6.97*(6.84e-5*x0)**(2*x0),a2*(a1*x0)**(2*x0),"{'a1': 6.84e-05, 'a2': 6.97}","{'a1': (6.44003e-05, 3.45569e-06, -3.30162e-06), 'a2': (6.98797, 0.0391226, -0.0390352)}","{'a1, a2': -0.672}",1.0*(a2*(a1*((x0 - 1568.5) * 0.000136221))**(2*((x0 - 1568.5) * 0.000136221))),0.01789,0.9999,35,189.7,181.6,5.42,5.187
11,15,6.97*(6.84e-5*x0)**(x0 + tanh(x0)),a2*(a1*x0)**(x0 + tanh(x0)),"{'a1': 6.84e-05, 'a2': 6.97}","{'a1': (6.19072e-05, 2.76495e-06, -2.66135e-06), 'a2': (6.99945, 0.0329005, -0.0328451)}","{'a1, a2': -0.6705}",1.0*(a2*(a1*((x0 - 1568.5) * 0.000136221))**(((x0 - 1568.5) * 0.000136221) + tanh(((x0 - 1568.5) * 0.000136221)))),0.0176,0.9999,35,152.2,129.2,4.348,3.692
12,17,6.97*(0.000111*x0*(x0 + 0.417))**(x0 + tanh(x0)),a3*(a1*x0*(a2 + x0))**(x0 + tanh(x0)),"{'a1': 0.000111, 'a2': 0.417, 'a3': 6.97}","{'a1': (0.000113257, 2.28306e-05, -2.30443e-05), 'a2': (0.404228, 0.138901, -0.0910448), 'a3': (7.06272, 0.0292251, -0.0290601)}","{'a1, a2': -0.9899, 'a1, a3': 0.4351, 'a2, a3': -0.5309}",1.0*(a3*(a1*((x0 - 1568.5) * 0.000136221)*(a2 + ((x0 - 1568.5) * 0.000136221)))**(((x0 - 1568.5) * 0.000136221) + tanh(((x0 - 1568.5) * 0.000136221)))),0.02215,0.9998,34,126.0,74.78,3.705,2.2
13,20,(0.000189*exp(x0))**(2*x0)/tanh(2*x0 + 0.417)**2.06,(a2*exp(x0))**(2*x0)*tanh(a3 + 2*x0)**a1,"{'a1': -2.06, 'a2': 0.000189, 'a3': 0.417}","{'a1': (-1.30843, 0.0453318, -0.0513873), 'a2': (0.000244868, 9.84984e-06, -9.66409e-06), 'a3': (0.230478, 0.0142132, -0.0127261)}","{'a1, a2': 0.8644, 'a1, a3': -0.9977, 'a2, a3': -0.8533}",1.0*((a2*exp(((x0 - 1568.5) * 0.000136221)))**(2*((x0 - 1568.5) * 0.000136221))*tanh(a3 + 2*((x0 - 1568.5) * 0.000136221))**a1),0.009476,1.0,34,127.2,38.86,3.741,1.143
