,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before refit),Chi2,Chi2/NDF (before refit),Chi2/NDF
0,1,9.09e-5,a1,{'a1': 9.09e-05},"{'a1': (9.09e-05, 0, 0)}",{},1.0*(a1),1.729,-0.2215,37,318800.0,318800.0,8617.0,8617.0
1,3,1.14e-5**x0,a1**x0,{'a1': 1.14e-05},"{'a1': (1.14e-05, 0, 0)}",{},1.0*(a1**((x0 - 1568.5) * 0.000136221)),1.416,0.1802,37,184700.0,184700.0,4992.0,4992.0
2,4,exp(-11.4*x0),exp(a1*x0),{'a1': -11.4},"{'a1': (-11.361, 1.79, -1.79)}",{},1.0*(exp(a1*((x0 - 1568.5) * 0.000136221))),1.416,0.1804,36,184700.0,184700.0,5131.0,5131.0
3,5,2.41*8.99e-6**x0,a1**x0*a2,"{'a1': 8.99e-06, 'a2': 2.41}","{'a1': (8.99e-06, 0, 0), 'a2': (2.42115, 0.304, -0.304)}",{},1.0*(a1**((x0 - 1568.5) * 0.000136221)*a2),1.001,0.5909,36,114800.0,114800.0,3188.0,3188.0
4,6,6.41*exp(-23.1*x0),a2*exp(a1*x0),"{'a1': -23.1, 'a2': 6.41}","{'a1': (-23.4619, 0.269399, -0.273139), 'a2': (6.63485, 0.0911232, -0.0906791)}","{'a1, a2': -0.695}",1.0*(a2*exp(a1*((x0 - 1568.5) * 0.000136221))),0.06456,0.9983,35,1193.0,999.7,34.07,28.56
5,7,0.0319**(6.87*x0 - 0.553),a2**(a1 + a3*x0),"{'a1': -0.553, 'a2': 0.0319, 'a3': 6.87}","{'a1': (-0.553, 0, 0), 'a2': (0.0326488, 0.00082273, -0.000795414), 'a3': (6.8563, 0.0567222, -0.0557147)}","{'a2, a3': -0.07561}",1.0*(a2**(a1 + a3*((x0 - 1568.5) * 0.000136221))),0.06455,0.9983,35,1026.0,999.7,29.32,28.56
6,8,0.0319**(6.87*tanh(x0) - 0.553),a2**(a1 + a3*tanh(x0)),"{'a1': -0.553, 'a2': 0.0319, 'a3': 6.87}","{'a1': (-0.553, 0, 0), 'a2': (0.0325342, 0.000744304, -0.000721893), 'a3': (6.88028, 0.0514499, -0.0506068)}","{'a2, a3': -0.06873}",1.0*(a2**(a1 + a3*tanh(((x0 - 1568.5) * 0.000136221)))),0.06185,0.9984,35,852.0,830.9,24.34,23.74
7,9,8.77e-5**(2*x0)/(x0 + 0.143),a1**(2*x0)/(a2 + x0),"{'a1': 8.77e-05, 'a2': 0.143}","{'a1': (9.57824e-05, 6.93331e-06, -6.53431e-06), 'a2': (0.147163, 0.0012799, -0.00126253)}","{'a1, a2': 0.55}",1.0*(a1**(2*((x0 - 1568.5) * 0.000136221))/(a2 + ((x0 - 1568.5) * 0.000136221))),0.03473,0.9995,35,525.7,389.9,15.02,11.14
8,10,8.77e-5**(x0 + tanh(x0))/(x0 + 0.143),a1**(x0 + tanh(x0))/(a2 + x0),"{'a1': 8.77e-05, 'a2': 0.143}","{'a1': (9.35738e-05, 6.17479e-06, -5.85147e-06), 'a2': (0.147023, 0.00117086, -0.00115638)}","{'a1, a2': 0.551}",1.0*(a1**(((x0 - 1568.5) * 0.000136221) + tanh(((x0 - 1568.5) * 0.000136221)))/(a2 + ((x0 - 1568.5) * 0.000136221))),0.03341,0.9995,35,463.0,328.6,13.23,9.389
9,11,(9.09e-5*x0)**(1.62*x0)/(x0 + 0.143),(a1*x0)**(a3*x0)/(a2 + x0),"{'a1': 9.09e-05, 'a2': 0.143, 'a3': 1.62}","{'a1': (9.09e-05, 0, 0), 'a2': (0.140908, 0.000607206, -0.000602909), 'a3': (1.61928, 0.00568449, -0.00565866)}","{'a2, a3': -0.5445}",1.0*((a1*((x0 - 1568.5) * 0.000136221))**(a3*((x0 - 1568.5) * 0.000136221))/(a2 + ((x0 - 1568.5) * 0.000136221))),0.02758,0.9997,35,150.4,99.93,4.298,2.855
