,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Correlation,RMSE,R2,NDF,Chi2,Chi2/NDF
0,1.0*(a1),"{'a1': (9.09e-05, 0, 0)}",{},1.729,-0.2215,37,318800.0,8617.0
1,1.0*(a1**((x0 - 1568.5) * 0.000136221)),"{'a1': (1.14e-05, 0, 0)}",{},1.416,0.1802,37,184700.0,4992.0
2,1.0*(exp(a1*((x0 - 1568.5) * 0.000136221))),"{'a1': (-11.361, 1.79, -1.79)}",{},1.416,0.1804,36,184700.0,5131.0
3,1.0*(a1**((x0 - 1568.5) * 0.000136221)*a2),"{'a1': (8.99e-06, 0, 0), 'a2': (2.42115, 0.304, -0.304)}",{},1.001,0.5909,36,114800.0,3188.0
4,1.0*(a2*exp(a1*((x0 - 1568.5) * 0.000136221))),"{'a1': (-23.4619, 0.269399, -0.273139), 'a2': (6.63485, 0.0911232, -0.0906791)}","{'a1, a2': -0.695}",0.06456,0.9983,35,999.7,28.56
5,1.0*(a2**(a1 + a3*((x0 - 1568.5) * 0.000136221))),"{'a1': (-0.553, 0, 0), 'a2': (0.0326488, 0.00082273, -0.000795414), 'a3': (6.8563, 0.0567222, -0.0557147)}","{'a2, a3': -0.07561}",0.06455,0.9983,35,999.7,28.56
6,1.0*(a2**(a1 + a3*tanh(((x0 - 1568.5) * 0.000136221)))),"{'a1': (-0.553, 0, 0), 'a2': (0.0325342, 0.000744304, -0.000721893), 'a3': (6.88028, 0.0514499, -0.0506068)}","{'a2, a3': -0.06873}",0.06185,0.9984,35,830.9,23.74
7,1.0*(a1**(2*((x0 - 1568.5) * 0.000136221))/(a2 + ((x0 - 1568.5) * 0.000136221))),"{'a1': (9.57824e-05, 6.93331e-06, -6.53431e-06), 'a2': (0.147163, 0.0012799, -0.00126253)}","{'a1, a2': 0.55}",0.03473,0.9995,35,389.9,11.14
8,1.0*(a1**(((x0 - 1568.5) * 0.000136221) + tanh(((x0 - 1568.5) * 0.000136221)))/(a2 + ((x0 - 1568.5) * 0.000136221))),"{'a1': (9.35738e-05, 6.17479e-06, -5.85147e-06), 'a2': (0.147023, 0.00117086, -0.00115638)}","{'a1, a2': 0.551}",0.03341,0.9995,35,328.6,9.389
9,1.0*((a1*((x0 - 1568.5) * 0.000136221))**(a3*((x0 - 1568.5) * 0.000136221))/(a2 + ((x0 - 1568.5) * 0.000136221))),"{'a1': (9.09e-05, 0, 0), 'a2': (0.140908, 0.000607206, -0.000602909), 'a3': (1.61928, 0.00568449, -0.00565866)}","{'a2, a3': -0.5445}",0.02758,0.9997,35,99.93,2.855
10,1.0*((a1*((x0 - 1568.5) * 0.000136221))**(a3*((x0 - 1568.5) * 0.000136221))/(a2 + ((x0 - 1568.5) * 0.000136221))),"{'a1': (8.77e-05, 0, 0), 'a2': (0.140927, 0.000605296, -0.00060102), 'a3': (1.61419, 0.00564886, -0.00562413)}","{'a2, a3': -0.5441}",0.02741,0.9997,35,99.26,2.836
11,1.0*((a1*tanh(((x0 - 1568.5) * 0.000136221)))**(a3*((x0 - 1568.5) * 0.000136221))/tanh(a2 + ((x0 - 1568.5) * 0.000136221))),"{'a1': (8.77e-05, 0, 0), 'a2': (0.141804, 0.000626453, -0.000621865), 'a3': (1.62721, 0.00570443, -0.00567491)}","{'a2, a3': -0.5377}",0.02799,0.9997,35,102.3,2.924
12,1.0*((a1*tanh(((x0 - 1568.5) * 0.000136221)))**(a3*((x0 - 1568.5) * 0.000136221))/(a2 + ((x0 - 1568.5) * 0.000136221))),"{'a1': (9.09e-05, 0, 0), 'a2': (0.140958, 0.000612164, -0.000607744), 'a3': (1.61808, 0.00573193, -0.00570936)}","{'a2, a3': -0.5453}",0.02723,0.9997,35,101.3,2.894
13,1.0*(a1**(a3*((x0 - 1568.5) * 0.000136221))/(a2 + ((x0 - 1568.5) * 0.000136221)*exp(((x0 - 1568.5) * 0.000136221)) + ((x0 - 1568.5) * 0.000136221))),"{'a1': (8.77e-05, 0, 0), 'a2': (0.141827, 0.000605203, -0.000601483), 'a3': (1.60467, 0.0063648, -0.00633902)}","{'a2, a3': -0.4386}",0.02035,0.9998,35,91.91,2.626
14,1.0*(a1**(2*((x0 - 1568.5) * 0.000136221))*a2*exp(a1**((x0 - 1568.5) * 0.000136221))),"{'a1': (0.000121491, 3.55119e-06, -3.46215e-06), 'a2': (2.55384, 0.00959305, -0.00957658)}","{'a1, a2': -0.699}",0.009771,1.0,35,76.63,2.19
15,1.0*(a1**(((x0 - 1568.5) * 0.000136221) + tanh(((x0 - 1568.5) * 0.000136221)))*a2*exp(a1**((x0 - 1568.5) * 0.000136221))),"{'a1': (0.000117716, 2.65964e-06, -2.60864e-06), 'a2': (2.55861, 0.00747604, -0.00746563)}","{'a1, a2': -0.7003}",0.008894,1.0,35,46.75,1.336
16,1.0*(a1**(((x0 - 1568.5) * 0.000136221) + tanh(((x0 - 1568.5) * 0.000136221)))*a3*exp(a2**((x0 - 1568.5) * 0.000136221))),"{'a1': (0.000126193, 5.34748e-06, -5.27023e-06), 'a2': (7.42289e-05, 2.1039e-05, -1.63477e-05), 'a3': (2.56798, 0.00886033, -0.00883697)}","{'a1, a2': -0.8086, 'a1, a3': 0.2087, 'a2, a3': -0.6312}",0.009516,1.0,34,42.34,1.245
17,1.0*(a1**(((x0 - 1568.5) * 0.000136221) + tanh(((x0 - 1568.5) * 0.000136221)))*a3*exp((a1*((x0 - 1568.5) * 0.000136221) + a2)**((x0 - 1568.5) * 0.000136221))),"{'a1': (0.000122356, 4.71414e-06, -4.74011e-06), 'a2': (7.65356e-05, 2.26176e-05, -1.75946e-05), 'a3': (2.56787, 0.00916322, -0.00912227)}","{'a1, a2': -0.7735, 'a1, a3': 0.1827, 'a2, a3': -0.6461}",0.009543,1.0,34,44.48,1.308
18,1.0*(a1**(((x0 - 1568.5) * 0.000136221) + tanh(((x0 - 1568.5) * 0.000136221)))*a2*(exp(a1**((x0 - 1568.5) * 0.000136221)) + tanh(((x0 - 1568.5) * 0.000136221)**2))),"{'a1': (0.000112105, 2.20495e-06, -2.1683e-06), 'a2': (2.56486, 0.00656159, -0.00655037)}","{'a1, a2': -0.6982}",0.008884,1.0,35,36.11,1.032
