,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Correlation,RMSE,R2,NDF,Chi2,Chi2/NDF
0,1.0*(a1),"{'a1': (9.09e-05, 0, 0)}",{},1.729,-0.2215,37,318800.0,8617.0
1,1.0*(a1**((x0 - 1568.5) * 0.000136221)),"{'a1': (1.12e-05, 0, 0)}",{},1.417,0.1801,37,184700.0,4992.0
2,1.0*(exp(a1*((x0 - 1568.5) * 0.000136221))),"{'a1': (-11.361, 1.79, -1.79)}",{},1.416,0.1804,36,184700.0,5131.0
3,1.0*(a1**((x0 - 1568.5) * 0.000136221)*a2),"{'a1': (1.07e-05, 0, 0), 'a2': (2.3289, 0.303, -0.303)}",{},1.025,0.5707,36,120300.0,3341.0
4,1.0*(a2*exp(a1*((x0 - 1568.5) * 0.000136221))),"{'a1': (-23.4619, 0.269432, -0.273106), 'a2': (6.63485, 0.0911154, -0.0906869)}","{'a1, a2': -0.695}",0.06456,0.9983,35,999.7,28.56
5,1.0*(a2**(a1 + a3*((x0 - 1568.5) * 0.000136221))),"{'a1': (-0.867, 0, 0), 'a2': (0.112745, 0.0018039, -0.00175987), 'a3': (10.7494, 0.0889335, -0.0873464)}","{'a2, a3': -0.07559}",0.06455,0.9983,35,999.7,28.56
6,1.0*(a2**(a1 + a3*tanh(((x0 - 1568.5) * 0.000136221)))),"{'a1': (-0.867, 0, 0), 'a2': (0.112493, 0.0016347, -0.0015986), 'a3': (10.787, 0.0806671, -0.0793387)}","{'a2, a3': -0.06886}",0.06185,0.9984,35,830.9,23.74
7,1.0*(a2*(a1*((x0 - 1568.5) * 0.000136221))**(2*((x0 - 1568.5) * 0.000136221))),"{'a1': (6.44003e-05, 3.45575e-06, -3.30157e-06), 'a2': (6.98797, 0.0391222, -0.0390356)}","{'a1, a2': -0.672}",0.01789,0.9999,35,181.6,5.187
8,1.0*(a1**(((x0 - 1568.5) * 0.000136221) + tanh(((x0 - 1568.5) * 0.000136221)))/(a2 + ((x0 - 1568.5) * 0.000136221))),"{'a1': (9.35739e-05, 6.1747e-06, -5.85156e-06), 'a2': (0.147023, 0.00117085, -0.00115639)}","{'a1, a2': 0.551}",0.03341,0.9995,35,328.6,9.389
9,1.0*(a1**(2*tanh(((x0 - 1568.5) * 0.000136221)))/(a2 + ((x0 - 1568.5) * 0.000136221))),"{'a1': (9.1159e-05, 5.37755e-06, -5.12648e-06), 'a2': (0.146856, 0.00105152, -0.00103994)}","{'a1, a2': 0.5472}",0.03187,0.9996,35,267.4,7.641
10,1.0*(a1**(2*tanh(((x0 - 1568.5) * 0.000136221)))/(a2 + tanh(((x0 - 1568.5) * 0.000136221)))),"{'a1': (9.02811e-05, 5.17856e-06, -4.94384e-06), 'a2': (0.146799, 0.00102394, -0.00101301)}","{'a1, a2': 0.5472}",0.03135,0.9996,35,254.2,7.263
11,1.0*(a2*(a1*((x0 - 1568.5) * 0.000136221))**(((x0 - 1568.5) * 0.000136221) + tanh(((x0 - 1568.5) * 0.000136221)))),"{'a1': (6.19072e-05, 2.76496e-06, -2.66134e-06), 'a2': (6.99945, 0.0329005, -0.0328452)}","{'a1, a2': -0.6705}",0.0176,0.9999,35,129.2,3.692
12,1.0*(a2*(a1*((x0 - 1568.5) * 0.000136221))**(((x0 - 1568.5) * 0.000136221) + tanh(((x0 - 1568.5) * 0.000136221)))),"{'a1': (6.19072e-05, 2.76496e-06, -2.66134e-06), 'a2': (6.99945, 0.0329005, -0.0328452)}","{'a1, a2': -0.6705}",0.0176,0.9999,35,129.2,3.692
13,1.0*((a2 + a3*tanh(2*((x0 - 1568.5) * 0.000136221)))**(a1 + a4*((x0 - 1568.5) * 0.000136221))),"{'a1': (-0.855, 0, 0), 'a2': (0.103779, 0.000366199, -0.0003641), 'a3': (0.124394, 0.00357356, -0.00362125), 'a4': (10.8452, 0.019842, -0.0197704)}","{'a2, a3': -0.4602, 'a2, a4': -0.2628, 'a3, a4': 0.5076}",0.01006,1.0,34,37.73,1.11
14,1.0*((a2 + a3*tanh(2*((x0 - 1568.5) * 0.000136221)))**(a1 + a4*((x0 - 1568.5) * 0.000136221))),"{'a1': (-0.855, 0, 0), 'a2': (0.103779, 0.000366199, -0.0003641), 'a3': (0.124394, 0.00357355, -0.00362125), 'a4': (10.8452, 0.019842, -0.0197704)}","{'a2, a3': -0.4602, 'a2, a4': -0.2628, 'a3, a4': 0.5076}",0.01006,1.0,34,37.73,1.11
15,1.0*((a2 + a3*tanh(a4*((x0 - 1568.5) * 0.000136221)))**(a5*((x0 - 1568.5) * 0.000136221) + tanh(a1 + ((x0 - 1568.5) * 0.000136221)**2))),"{'a1': (-1.27, 0, 0), 'a2': (0.103136, 0.000368997, -0.000367691), 'a3': (0.109789, 0.00984502, -0.00820695), 'a4': (2.53141, 0.28773, -0.28324), 'a5': (10.8176, 0.0191346, -0.0190664)}","{'a2, a3': 0.1671, 'a2, a4': -0.3401, 'a2, a5': -0.313, 'a3, a4': -0.9417, 'a3, a5': 0.01504, 'a4, a5': 0.1669}",0.008844,1.0,33,32.29,0.9786
