,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Correlation,RMSE,R2,NDF,Chi2,Chi2/NDF
0,1.0*(a1),"{'a1': (6.02352, 0.85, -0.85)}",{},2.768,-0.002682,11,11.23,1.021
1,1.0*(a1*exp(-((x0 - 397.4) * 0.00487329))),"{'a1': (9.79604, 0.699, -0.699)}",{},1.454,0.7234,11,3.199,0.2908
2,1.0*(a1*((x0 - 397.4) * 0.00487329) + a2),"{'a1': (-6.37461, 1.29208, -1.2708), 'a2': (9.56559, 0.943818, -0.926682)}","{'a1, a2': -0.8634}",1.417,0.7371,10,3.046,0.3046
3,1.0*(a2**tanh(a1 + ((x0 - 397.4) * 0.00487329))),"{'a1': (-1.50605, 0.106721, -0.123155), 'a2': (0.0848372, 0.0136038, -0.011418)}","{'a1, a2': -0.7606}",1.408,0.7406,10,3.012,0.3012
4,1.0*(a2**tanh(a1 + ((x0 - 397.4) * 0.00487329))),"{'a1': (-1.50605, 0.106721, -0.123155), 'a2': (0.0848372, 0.0136038, -0.011418)}","{'a1, a2': -0.7606}",1.408,0.7406,10,3.012,0.3012
5,1.0*(a2**(a1 + tanh(((x0 - 397.4) * 0.00487329)**2))),"{'a1': (-1.69877, 0.313, -0.313), 'a2': (0.273265, 0.0726, -0.0726)}","{'a1, a2': -0.9819}",1.409,0.7401,10,3.018,0.3018
6,1.0*(a2/a1**tanh(((x0 - 397.4) * 0.00487329)**2)),"{'a1': (3.65946, 1.22279, -0.866407), 'a2': (9.05972, 0.859651, -0.84889)}","{'a1, a2': 0.5835}",1.409,0.7401,10,3.018,0.3018
7,1.0*(a2 + a3**(a1 + tanh(((x0 - 397.4) * 0.00487329)**2))),"{'a1': (-1.6191, 0.301, -0.301), 'a2': (0.211, 0, 0), 'a3': (0.260049, 0.0724, -0.0724)}","{'a1, a3': -0.9811}",1.41,0.7399,10,3.02,0.302
