,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before refit),Chi2,Chi2/NDF (before refit),Chi2/NDF
0,1,2.03,a1,{'a1': 2.03},"{'a1': (2.03333, 0.283, -0.283)}",{},a1,0.7074,-0.3108,8,770.7,770.7,96.33,96.33
1,4,exp(0.865**x0),exp(a1**x0),{'a1': 0.865},"{'a1': (0.864705, 0.0516, -0.0516)}",{},exp(a1**x0),0.539,0.2391,8,400.9,400.9,50.11,50.11
2,5,3.6 - 0.521*x0,a1*x0 + a2,"{'a1': -0.521, 'a2': 3.6}","{'a1': (-0.520833, 0.0908566, -0.0908566), 'a2': (3.59583, 0.301337, -0.301337)}","{'a1, a2': -0.9039}",a1*x0 + a2,0.3343,0.7073,7,119.6,119.6,17.09,17.09
3,6,2.92 - 0.0214*exp(x0),a1*exp(x0) + a2,"{'a1': -0.0214, 'a2': 2.92}","{'a1': (-0.0214288, 0.000912153, -0.000912153), 'a2': (2.91957, 0.0507364, -0.0507364)}","{'a1, a2': -0.7438}",a1*exp(x0) + a2,0.0961,0.9758,7,8.342,8.337,1.192,1.191
4,8,2.93*(1 - 0.00686*exp(x0))**1.12,a3*(a1*exp(x0) + 1)**a2,"{'a1': -0.00686, 'a2': 1.12, 'a3': 2.93}","{'a1': (-0.00686, 0, 0), 'a2': (1.12467, 0.0635373, -0.0611926), 'a3': (2.93122, 0.0532859, -0.0530987)}","{'a2, a3': 0.5317}",a3*(a1*exp(x0) + 1)**a2,0.09511,0.9763,7,8.159,8.151,1.166,1.164
5,10,0.00905**x0 - 0.0214*exp(x0) + 2.92,a1*exp(x0) + a2**x0 + a3,"{'a1': -0.0214, 'a2': 0.00905, 'a3': 2.92}","{'a1': (-0.0211781, 0.000834892, -0.000834892), 'a2': (0.00905, 0, 0), 'a3': (2.90044, 0.0464389, -0.0464389)}","{'a1, a3': -0.7442}",a1*exp(x0) + a2**x0 + a3,0.08803,0.9797,7,7.196,6.985,1.028,0.9978
6,12,0.0138**x0 - 0.0214*exp(x0) + 2.91,a1*exp(x0) + a2**x0 + a3,"{'a1': -0.0214, 'a2': 0.0138, 'a3': 2.91}","{'a1': (-0.0211117, 0.00083061, -0.00083061), 'a2': (0.0138, 0, 0), 'a3': (2.89536, 0.0462007, -0.0462007)}","{'a1, a3': -0.7439}",a1*exp(x0) + a2**x0 + a3,0.0876,0.9799,7,7.06,6.913,1.009,0.9876
7,13,(exp(x0) - 1.84)*(tanh(1.31*x0) - 1.02) + 2.92,a4 + (a1 + exp(x0))*(a2 + tanh(a3*x0)),"{'a1': -1.84, 'a2': -1.02, 'a3': 1.31, 'a4': 2.92}","{'a1': (-1.78716, 0.394084, -0.908248), 'a2': (-1.0221, 0.00144379, -0.00202316), 'a3': (1.25367, 1.37912, -0.327232), 'a4': (2.93768, 0.20437, -0.111085)}","{'a1, a2': -0.7732, 'a1, a3': -0.7118, 'a1, a4': 0.8352, 'a2, a3': 0.8351, 'a2, a4': -0.9383, 'a3, a4': -0.9069}",a4 + (a1 + exp(x0))*(a2 + tanh(a3*x0)),0.07669,0.9846,5,18.19,5.356,3.639,1.071
8,14,0.987**exp(x0)*(tanh(x0**(x0 - 1.75)) + 2.18),a2**exp(x0)*(a3 + tanh(x0**(a1 + x0))),"{'a1': -1.75, 'a2': 0.987, 'a3': 2.18}","{'a1': (-1.70235, 0.41899, -0.333893), 'a2': (0.98773, 0.000542699, -0.000557922), 'a3': (2.16404, 0.0600483, -0.0575285)}","{'a1, a2': 0.2288, 'a1, a3': -0.5451, 'a2, a3': -0.5945}",a2**exp(x0)*(a3 + tanh(x0**(a1 + x0))),0.07306,0.986,6,7.515,5.317,1.253,0.8862
9,15,0.987**exp(x0)*(tanh(0.657*x0**(x0 - 1.33)) + 2.27),a3**exp(x0)*(a4 + tanh(a2*x0**(a1 + x0))),"{'a1': -1.33, 'a2': 0.657, 'a3': 0.987, 'a4': 2.27}","{'a1': (-1.34364, 0.136333, -0.135376), 'a2': (0.459085, 0.137893, -0.113663), 'a3': (0.986498, 0.000591126, -0.000599348), 'a4': (2.41424, 0.113459, -0.10616)}","{'a1, a2': -0.034, 'a1, a3': -0.01867, 'a1, a4': -0.04361, 'a2, a3': 0.7899, 'a2, a4': -0.9447, 'a3, a4': -0.858}",a3**exp(x0)*(a4 + tanh(a2*x0**(a1 + x0))),0.0445,0.9948,5,2.869,1.788,0.5737,0.3576
