,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before refit),Chi2,Chi2/NDF (before refit),Chi2/NDF
0,1,0.000283,a1,{'a1': 0.000283},"{'a1': (0.000283, 0, 0)}",{},1.0*(a1),37.07,-0.2158,35,6359000.0,6359000.0,181700.0,181700.0
1,3,0.000691**x0,a1**x0,{'a1': 0.000691},"{'a1': (0.000691, 0, 0)}",{},1.0*(a1**((x0 - 1568.5) * 0.000145275)),36.73,-0.1932,35,6161000.0,6161000.0,176000.0,176000.0
2,5,49.8*9.06e-6**x0,a1**x0*a2,"{'a1': 9.06e-06, 'a2': 49.8}","{'a1': (9.06e-06, 0, 0), 'a2': (54.3973, 6.77, -6.77)}",{},1.0*(a1**((x0 - 1568.5) * 0.000145275)*a2),20.76,0.6189,34,2220000.0,2191000.0,65300.0,64430.0
3,6,4.98e-5**(exp(x0) - 1.42),a2**(a1 + exp(x0)),"{'a1': -1.42, 'a2': 4.98e-05}","{'a1': (-1.42, 0, 0), 'a2': (4.85834e-05, 1.55e-05, -1.55e-05)}",{},1.0*(a2**(a1 + exp(((x0 - 1568.5) * 0.000145275)))),17.95,0.715,34,2237000.0,2237000.0,65790.0,65780.0
4,7,4.98e-5**(2.45*x0 - 0.504),a2**(a1 + a3*x0),"{'a1': -0.504, 'a2': 4.98e-05, 'a3': 2.45}","{'a1': (-0.504, 0, 0), 'a2': (5.36976e-05, 1.88245e-06, -1.79744e-06), 'a3': (2.4061, 0.0323158, -0.0317567)}","{'a2, a3': -0.5563}",1.0*(a2**(a1 + a3*((x0 - 1568.5) * 0.000145275))),1.466,0.9981,33,33330.0,28850.0,1010.0,874.2
5,8,4.98e-5**(2.45*tanh(x0) - 0.504),a2**(a1 + a3*tanh(x0)),"{'a1': -0.504, 'a2': 4.98e-05, 'a3': 2.45}","{'a1': (-0.504, 0, 0), 'a2': (5.36341e-05, 1.74305e-06, -1.67006e-06), 'a3': (2.41171, 0.0299056, -0.0294085)}","{'a2, a3': -0.5522}",1.0*(a2**(a1 + a3*tanh(((x0 - 1568.5) * 0.000145275)))),1.442,0.9982,33,29280.0,24920.0,887.2,755.3
6,9,4.98e-5**(2.39*x0 - 0.5),a2**(a1 + a3*x0),"{'a1': -0.5, 'a2': 4.98e-05, 'a3': 2.39}","{'a1': (-0.5, 0, 0), 'a2': (4.96357e-05, 1.75427e-06, -1.67449e-06), 'a3': (2.38701, 0.0320581, -0.0315059)}","{'a2, a3': -0.5556}",1.0*(a2**(a1 + a3*((x0 - 1568.5) * 0.000145275))),1.466,0.9981,33,28890.0,28850.0,875.4,874.2
7,10,4.98e-5**(x0 + (x0 - 0.504)*exp(-x0)),a2**(x0 + (a1 + x0)*exp(-x0)),"{'a1': -0.504, 'a2': 4.98e-05}","{'a1': (-0.499216, 0.00492934, -0.00496228), 'a2': (4.74559e-05, 5.59875e-06, -5.06776e-06)}","{'a1, a2': -0.9874}",1.0*(a2**(((x0 - 1568.5) * 0.000145275) + (a1 + ((x0 - 1568.5) * 0.000145275))*exp(-((x0 - 1568.5) * 0.000145275)))),1.034,0.9991,33,15880.0,11530.0,481.1,349.3
8,11,4.98e-5**(x0 + x0/(x0 + 0.595) - 0.504),a2**(a1 + x0 + x0/(a3 + x0)),"{'a1': -0.504, 'a2': 4.98e-05, 'a3': 0.595}","{'a1': (-0.571056, 0.00296357, -0.00292967), 'a2': (0.00015696, 6.99134e-06, -6.83947e-06), 'a3': (0.471326, 0.00501173, -0.00488127)}","{'a1, a2': -0.997, 'a1, a3': 0.9808, 'a2, a3': -0.9722}",1.0*(a2**(a1 + ((x0 - 1568.5) * 0.000145275) + ((x0 - 1568.5) * 0.000145275)/(a3 + ((x0 - 1568.5) * 0.000145275)))),0.1218,1.0,32,3897.0,243.3,121.8,7.602
9,12,4.98e-5**(x0 + tanh(x0/(x0 + 0.595)) - 0.504),a2**(a1 + x0 + tanh(x0/(a3 + x0))),"{'a1': -0.504, 'a2': 4.98e-05, 'a3': 0.595}","{'a1': (-0.538106, 0.00323277, -0.00317854), 'a2': (9.21418e-05, 5.02787e-06, -4.90507e-06), 'a3': (0.522409, 0.00672661, -0.00650227)}","{'a1, a2': -0.9967, 'a1, a3': 0.9768, 'a2, a3': -0.9655}",1.0*(a2**(a1 + ((x0 - 1568.5) * 0.000145275) + tanh(((x0 - 1568.5) * 0.000145275)/(a3 + ((x0 - 1568.5) * 0.000145275))))),0.1839,1.0,32,1725.0,408.0,53.9,12.75
