,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Correlation,RMSE,R2,NDF,Chi2,Chi2/NDF
18,a6*tanh(2*x0*(a2*x1 + a5)) + a7*gauss(a3) + (a4 + exp(x1))*gauss(a1 + x0),"{'a1': (-1.24006, 0.0240074, -0.0239132), 'a2': (-1.30514, 0.137193, -0.156104), 'a3': (-0.566, 0, 0), 'a4': (1.07102, 0.165503, -0.165507), 'a5': (1.359, 0.162111, -0.141819), 'a6': (2.36118, 0.102015, -0.0979701), 'a7': (9.85995, 0.094789, -0.0948551)}","{'a1, a2': 0.02526, 'a1, a4': -0.0455, 'a1, a5': 0.005398, 'a1, a6': -0.01968, 'a1, a7': -0.0302, 'a2, a4': 0.08948, 'a2, a5': -0.9904, 'a2, a6': 0.6685, 'a2, a7': -0.2557, 'a4, a5': -0.1372, 'a4, a6': -0.2283, 'a4, a7': -0.7217, 'a5, a6': -0.6615, 'a5, a7': 0.2705, 'a6, a7': 0.07624}",0.7398,0.8846,222,138.7,0.6248
19,a5*tanh(2*x0*(a2*x1 + a3)) + a6 + (-a1 + exp(x1))*gauss(a1 + x0),"{'a1': (-1.23717, 0.023334, -0.0231014), 'a2': (-1.28767, 0.135433, -0.154335), 'a3': (1.33531, 0.15878, -0.138694), 'a4': (1.26, 0, 0), 'a5': (2.34169, 0.101154, -0.0965438), 'a6': (7.10667, 0.0473532, -0.047491)}","{'a1, a2': 0.02035, 'a1, a3': 0.01571, 'a1, a5': 0.007093, 'a1, a6': 0.05362, 'a2, a3': -0.9867, 'a2, a5': 0.713, 'a2, a6': -0.2737, 'a3, a5': -0.7177, 'a3, a6': 0.2501, 'a5, a6': -0.133}",0.7441,0.8833,223,139.4,0.6249
20,a4*tanh(2*x0*(a2*x1 + a3)) + a5 + (x1 + exp(x1))*gauss(a1 + x0) + gauss(x1),"{'a1': (-1.2546, 0.0223548, -0.0223024), 'a2': (-1.61771, 0.148873, -0.167095), 'a3': (1.70295, 0.175982, -0.155687), 'a4': (2.31607, 0.0798964, -0.0774413), 'a5': (6.69462, 0.0430172, -0.0431135)}","{'a1, a2': -0.05448, 'a1, a3': 0.0762, 'a1, a4': -0.1184, 'a1, a5': -0.04095, 'a2, a3': -0.9896, 'a2, a4': 0.6684, 'a2, a5': -0.2353, 'a3, a4': -0.675, 'a3, a5': 0.2141, 'a4, a5': -0.0845}",0.6934,0.8987,223,118.6,0.5317
21,a4*tanh(3*x0*(a2*x1 + a3)) + a5 + (x1 + exp(x1))*gauss(a1 + x0) + gauss(x1),"{'a1': (-1.2546, 0.0223546, -0.0223026), 'a2': (-1.07849, 0.0992685, -0.111377), 'a3': (1.13532, 0.117301, -0.103812), 'a4': (2.31605, 0.0799067, -0.077431), 'a5': (6.69462, 0.0430153, -0.0431155)}","{'a1, a2': -0.05467, 'a1, a3': 0.07598, 'a1, a4': -0.1184, 'a1, a5': -0.04094, 'a2, a3': -0.9897, 'a2, a4': 0.6705, 'a2, a5': -0.236, 'a3, a4': -0.6728, 'a3, a5': 0.2134, 'a4, a5': -0.08446}",0.6934,0.8987,223,118.6,0.5317
22,a5*tanh(3*x0*(a2*x1 + a4)) + a6 + (a3 + x1 + exp(x1))*gauss(a1 + x0) + gauss(x1),"{'a1': (-1.25455, 0.0211382, -0.0210896), 'a2': (-1.06061, 0.0972562, -0.108831), 'a3': (0.32, 0, 0), 'a4': (1.10742, 0.113637, -0.100904), 'a5': (2.27195, 0.0796161, -0.0771518), 'a6': (6.59865, 0.0427155, -0.0427987)}","{'a1, a2': -0.04528, 'a1, a4': 0.06828, 'a1, a5': -0.1071, 'a1, a6': -0.04773, 'a2, a4': -0.9989, 'a2, a5': 0.6716, 'a2, a6': -0.2342, 'a4, a5': -0.6801, 'a4, a6': 0.2124, 'a5, a6': -0.08104}",0.6904,0.8995,223,117.0,0.5247
23,a5*tanh(3*x0*(a2*x1 + a4)) + a6 + (a3 + exp(x1) + tanh(x1))*gauss(a1 + x0) + gauss(x1),"{'a1': (-1.25381, 0.0214615, -0.0214041), 'a2': (-1.08423, 0.104423, -0.117342), 'a3': (0.514239, 0.151134, -0.150999), 'a4': (1.13669, 0.12344, -0.109073), 'a5': (2.188, 0.0814539, -0.0790905), 'a6': (6.59445, 0.0622406, -0.0622486)}","{'a1, a2': -0.02662, 'a1, a3': -0.02009, 'a1, a4': 0.04913, 'a1, a5': -0.07035, 'a1, a6': -0.02451, 'a2, a3': 0.0729, 'a2, a4': -0.9848, 'a2, a5': 0.617, 'a2, a6': -0.2117, 'a3, a4': -0.112, 'a3, a5': -0.2754, 'a3, a6': -0.7284, 'a4, a5': -0.6086, 'a4, a6': 0.2246, 'a5, a6': 0.1481}",0.6995,0.8969,222,115.8,0.5218
24,a5*tanh(3*x0*(a2*x1 + a4)) + a6 + (a3 + x1 + exp(x1))*gauss(a1 + x0) + gauss(x1),"{'a1': (-1.25455, 0.0211381, -0.0210898), 'a2': (-1.06062, 0.0972611, -0.108826), 'a3': (0.32, 0, 0), 'a4': (1.10742, 0.113632, -0.100909), 'a5': (2.27195, 0.0796188, -0.077149), 'a6': (6.59865, 0.0427152, -0.042799)}","{'a1, a2': -0.04529, 'a1, a4': 0.06828, 'a1, a5': -0.1071, 'a1, a6': -0.04773, 'a2, a4': -0.999, 'a2, a5': 0.6716, 'a2, a6': -0.2342, 'a4, a5': -0.6801, 'a4, a6': 0.2125, 'a5, a6': -0.08103}",0.6904,0.8995,223,117.0,0.5247
25,a6*tanh(3*x0*(a2*x1 + a5)) + a7 + (a3 + gauss(a1 + x0))*(a4 + exp(x1) + tanh(x1)) + gauss(x1),"{'a1': (-1.2546, 0.0213746, -0.0213179), 'a2': (-1.11025, 0.107088, -0.120416), 'a3': (-0.0207, 0, 0), 'a4': (0.52445, 0.150691, -0.150533), 'a5': (1.16494, 0.126907, -0.11203), 'a6': (2.16338, 0.0801816, -0.0779141), 'a7': (6.66394, 0.059798, -0.0598075)}","{'a1, a2': -0.02863, 'a1, a4': -0.01813, 'a1, a5': 0.05061, 'a1, a6': -0.07123, 'a1, a7': -0.02684, 'a2, a4': 0.07207, 'a2, a5': -0.9895, 'a2, a6': 0.6121, 'a2, a7': -0.212, 'a4, a5': -0.1107, 'a4, a6': -0.2808, 'a4, a7': -0.7065, 'a5, a6': -0.6054, 'a5, a7': 0.2239, 'a6, a7': 0.1459}",0.6993,0.8969,222,115.2,0.519
26,a4*tanh(3*x0*(a2*x1 + a3)) + a5 + (x0*tanh(x1) + gauss(x0) + exp(x1))*gauss(a1 + x0) + gauss(x1),"{'a1': (-1.2285, 0.0204982, -0.0204163), 'a2': (-1.02093, 0.0940796, -0.10513), 'a3': (1.06672, 0.109438, -0.0973312), 'a4': (2.26873, 0.0801451, -0.0774896), 'a5': (6.60065, 0.0419085, -0.0420095)}","{'a1, a2': -0.03598, 'a1, a3': 0.06227, 'a1, a4': -0.1066, 'a1, a5': -0.02944, 'a2, a3': -0.9934, 'a2, a4': 0.6782, 'a2, a5': -0.2436, 'a3, a4': -0.6849, 'a3, a5': 0.2208, 'a4, a5': -0.09258}",0.674,0.9043,223,111.8,0.5014
27,a4*tanh(3*x0*(a2*x1 + a3)) + a5 + (x0*tanh(x1) + gauss(x0) + exp(x1))*gauss(a1 + x0) + gauss(x1),"{'a1': (-1.2285, 0.0204982, -0.0204163), 'a2': (-1.02093, 0.0940782, -0.105132), 'a3': (1.06671, 0.10944, -0.0973297), 'a4': (2.26873, 0.0801442, -0.0774904), 'a5': (6.60065, 0.0419087, -0.0420094)}","{'a1, a2': -0.03597, 'a1, a3': 0.06226, 'a1, a4': -0.1066, 'a1, a5': -0.02944, 'a2, a3': -0.9934, 'a2, a4': 0.6782, 'a2, a5': -0.2436, 'a3, a4': -0.6849, 'a3, a5': 0.2208, 'a4, a5': -0.09258}",0.674,0.9043,223,111.8,0.5014
