,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Correlation,RMSE,R2,NDF,Chi2,Chi2/NDF
0,1.0*(a1),"{'a1': (6.02352, 0.85, -0.85)}",{},2.768,-0.002682,11,11.23,1.021
1,1.0*(a1*exp(-((x0 - 397.4) * 0.00487329))),"{'a1': (9.79604, 0.699, -0.699)}",{},1.454,0.7234,11,3.199,0.2908
2,1.0*(a1*((x0 - 397.4) * 0.00487329) + a2),"{'a1': (-6.37461, 1.29208, -1.2708), 'a2': (9.56559, 0.943818, -0.926682)}","{'a1, a2': -0.8634}",1.417,0.7371,10,3.046,0.3046
3,1.0*(a1**exp(((x0 - 397.4) * 0.00487329))*a2),"{'a1': (0.536111, 0.0743646, -0.0681545), 'a2': (17.7828, 4.22758, -3.46147)}","{'a1, a2': -0.9343}",1.416,0.7374,10,3.043,0.3043
4,1.0*(a2/(a1 + ((x0 - 397.4) * 0.00487329)**2)),"{'a1': (0.586574, 0.234866, -0.157847), 'a2': (5.35243, 1.74032, -1.26134)}","{'a1, a2': 0.9649}",1.411,0.7393,10,3.027,0.3027
5,1.0*(a1**tanh(((x0 - 397.4) * 0.00487329)**2)*a2),"{'a1': (0.273265, 0.084767, -0.0684411), 'a2': (9.05972, 0.859651, -0.848889)}","{'a1, a2': -0.5834}",1.409,0.7401,10,3.018,0.3018
6,1.0*(a3*tanh(a2**(a1 + ((x0 - 397.4) * 0.00487329))) + ((x0 - 397.4) * 0.00487329)),"{'a1': (-0.462816, 0.109616, -0.0958852), 'a2': (0.0814, 0, 0), 'a3': (8.89122, 1.03383, -0.916298)}","{'a1, a3': 0.6409}",1.411,0.7396,10,3.019,0.3019
