,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before refit),Chi2,Chi2/NDF (before refit),Chi2/NDF
0,1,4.08,a1,{'a1': 4.08},"{'a1': (4.97276, 0.65, -0.65)}",{},1.0*(a1),2.917,-0.006104,19,25.24,22.96,1.329,1.208
1,4,7.06*exp(-x0),a1*exp(-x0),{'a1': 7.06},"{'a1': (8.18949, 0.827, -0.827)}",{},1.0*(a1*exp(-((x0 - 397.4) * 0.00487329))),2.183,0.4365,19,16.03,14.5,0.8434,0.7634
2,5,3.03/(x0 + 0.303),a2/(a1 + x0),"{'a1': 0.303, 'a2': 3.03}","{'a1': (0.303, 0, 0), 'a2': (3.48871, 0.353, -0.353)}",{},1.0*(a2/(a1 + ((x0 - 397.4) * 0.00487329))),2.175,0.4409,19,15.23,13.96,0.8015,0.7349
3,6,2.69/(tanh(x0) + 0.262),a2/(a1 + tanh(x0)),"{'a1': 0.262, 'a2': 2.69}","{'a1': (0.262, 0, 0), 'a2': (3.08761, 0.315, -0.315)}",{},1.0*(a2/(a1 + tanh(((x0 - 397.4) * 0.00487329)))),2.186,0.4352,19,15.0,13.78,0.7895,0.7252
4,7,7.62*0.0176**x0 + 2.57,a1**x0*a3 + a2,"{'a1': 0.0176, 'a2': 2.57, 'a3': 7.62}","{'a1': (0.0176, 0, 0), 'a2': (3.32322, 0.693587, -0.687937), 'a3': (7.44352, 2.4346, -2.26897)}","{'a2, a3': -0.6488}",1.0*(a1**((x0 - 397.4) * 0.00487329)*a3 + a2),2.135,0.4613,18,14.91,13.39,0.8283,0.7441
5,8,9.22*0.0383**x0 + exp(x0),a1**x0*a2 + exp(x0),"{'a1': 0.0383, 'a2': 9.22}","{'a1': (0.0383, 0, 0), 'a2': (10.7749, 1.58, -1.58)}",{},1.0*(a1**((x0 - 397.4) * 0.00487329)*a2 + exp(((x0 - 397.4) * 0.00487329))),2.213,0.4209,19,14.73,14.01,0.7755,0.7373
6,9,exp(x0) + 11.6*tanh(0.0223**x0),a2*tanh(a1**x0) + exp(x0),"{'a1': 0.0223, 'a2': 11.6}","{'a1': (0.0223, 0, 0), 'a2': (13.4315, 1.97, -1.97)}",{},1.0*(a2*tanh(a1**((x0 - 397.4) * 0.00487329)) + exp(((x0 - 397.4) * 0.00487329))),2.195,0.4307,19,14.69,14.05,0.773,0.7392
7,10,2.78/tanh(3.88*x0**1.95 + 0.297),a3/tanh(a1 + a4*x0**a2),"{'a1': 0.297, 'a2': 1.95, 'a3': 2.78, 'a4': 3.88}","{'a1': (0.389025, 0.142553, -0.100751), 'a2': (2.08671, 0.704694, -0.549952), 'a3': (3.52481, 0.691417, -0.698046), 'a4': (3.88, 0, 0)}","{'a1, a2': 0.06525, 'a1, a3': 0.6264, 'a2, a3': -0.5445}",1.0*(a3/tanh(a1 + a4*((x0 - 397.4) * 0.00487329)**a2)),2.076,0.4907,17,14.83,12.88,0.8725,0.7576
