,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Correlation,RMSE,R2,NDF,Chi2,Chi2/NDF
0,a1,"{'a1': (6.23143, 0.147, -0.147)}",{},2.116,-0.3235,151,1183.0,7.836
1,a1 + x1,"{'a1': (5.75237, 0.141, -0.141)}",{},2.044,-0.2342,151,1081.0,7.157
2,a1*x0 + a2,"{'a1': (-2.27041, 0.379864, -0.379864), 'a2': (8.02121, 0.327747, -0.327747)}","{'a1, a2': -0.9117}",1.929,-0.09951,150,954.4,6.363
3,a1 + x1 + gauss(x0),"{'a1': (5.2179, 0.132, -0.132)}",{},1.925,-0.09495,151,951.8,6.303
4,a1*gauss(x0) + exp(x0),"{'a1': (7.11956, 0.209, -0.209)}",{},1.832,0.008511,151,827.4,5.48
5,a1*gauss(x0) + exp(x0**2),"{'a1': (7.2957, 0.172, -0.172)}",{},1.458,0.3718,151,561.3,3.717
6,a1*gauss(x0) + x1 + exp(x0**2),"{'a1': (6.54693, 0.164, -0.164)}",{},1.381,0.4368,151,508.8,3.369
7,a1 + a2*gauss(x0) + x1 + exp(x0**2),"{'a1': (-0.75722, 0.219736, -0.219736), 'a2': (7.70663, 0.371975, -0.371975)}","{'a1, a2': -0.9041}",1.384,0.4337,150,471.2,3.142
8,(a2*gauss(x0*(a1 + x0)) + x0 + x1)*exp(x0),"{'a1': (0.85154, 0.0311442, -0.0306118), 'a2': (6.32641, 0.162554, -0.16125)}","{'a1, a2': 0.6384}",1.104,0.64,150,328.1,2.187
9,(a2*gauss(x0*(a1 + x0)) + x0**2 + x1)*exp(x0),"{'a1': (0.809133, 0.0241789, -0.0238561), 'a2': (6.49164, 0.135257, -0.134376)}","{'a1, a2': 0.6428}",0.9207,0.7495,150,240.1,1.601
10,(a2*gauss(x0*(a1 + x0)) + x0**2 + tanh(x1))*exp(x0),"{'a1': (0.78469, 0.0231837, -0.0228977), 'a2': (6.52652, 0.131493, -0.13066)}","{'a1, a2': 0.6477}",0.905,0.758,150,228.9,1.526
11,(a3*gauss(x0*(a1 + x0)) + x0**2 + tanh(a2*x1))*exp(x0),"{'a1': (0.824997, 0.0282699, -0.027744), 'a2': (1.32839, 0.150484, -0.134846), 'a3': (6.50125, 0.130439, -0.129703)}","{'a1, a2': 0.5422, 'a1, a3': 0.5048, 'a2, a3': -0.06034}",0.8865,0.7678,149,218.7,1.467
12,a2*exp(x0**2) + a3*gauss(a1*x1 + x0**2 + x0) + x0,"{'a1': (-0.704142, 0.0260475, -0.0256357), 'a2': (1.1824, 0.0231582, -0.0231712), 'a3': (7.48657, 0.119839, -0.119835)}","{'a1, a2': 0.2925, 'a1, a3': 0.03638, 'a2, a3': -0.3397}",0.7679,0.8258,149,167.0,1.121
13,a2*gauss(a1*x1 + x0**2 + x0) + x0*x1 + x0 + exp(x0**2),"{'a1': (-0.657161, 0.0253374, -0.0249395), 'a2': (7.52429, 0.111972, -0.111905)}","{'a1, a2': 0.1625}",0.7758,0.8222,150,163.6,1.091
14,a3*gauss(a1*x1 + x0**2 + x0) + x0 + exp(a2*x0**2) + tanh(x1),"{'a1': (-0.68508, 0.026135, -0.0257332), 'a2': (1.06307, 0.0140132, -0.0143298), 'a3': (7.16166, 0.110023, -0.109975)}","{'a1, a2': 0.1965, 'a1, a3': 0.1374, 'a2, a3': -0.07125}",0.7505,0.8336,149,157.3,1.056
15,a2 + a4*gauss(a1*x1 + a3*x0**2) + x0 + x1 + exp(x0**2),"{'a1': (-0.72355, 0.0443804, -0.0437153), 'a2': (0.484795, 0.0804149, -0.0813814), 'a3': (2.50412, 0.0837036, -0.0817073), 'a4': (6.61898, 0.14222, -0.141813)}","{'a1, a2': -0.2841, 'a1, a3': -0.7533, 'a1, a4': -0.2865, 'a2, a3': 0.5372, 'a2, a4': -0.4299, 'a3, a4': 0.2141}",0.6717,0.8667,148,136.9,0.925
16,a2 + a4*gauss(a1*x1 + a3*x0**2) + x1 + exp(x0**2) + tanh(x0),"{'a1': (-0.757981, 0.0461617, -0.0455544), 'a2': (0.792552, 0.0792544, -0.0801346), 'a3': (2.58714, 0.0891345, -0.0868053), 'a4': (6.35528, 0.145036, -0.144576)}","{'a1, a2': -0.2829, 'a1, a3': -0.7523, 'a1, a4': -0.3002, 'a2, a3': 0.5254, 'a2, a4': -0.417, 'a3, a4': 0.2331}",0.6857,0.8611,148,139.7,0.9442
17,(a3 + a4*gauss(a1*x1 + x0*(a2 + 2*x0)) + tanh(x1))*exp(x0**2) + gauss(x1),"{'a1': (-0.60289, 0.0405482, -0.0401689), 'a2': (0.49385, 0.0455198, -0.0449506), 'a3': (0.934547, 0.0191565, -0.0191874), 'a4': (6.0201, 0.10268, -0.102051)}","{'a1, a2': -0.8161, 'a1, a3': -0.1285, 'a1, a4': -0.3008, 'a2, a3': 0.2954, 'a2, a4': 0.4858, 'a3, a4': -0.08487}",0.6065,0.8913,148,110.7,0.7477
