,Complexity,PySR template spec,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Covariance,Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before ROF),Chi2,Chi2/NDF (before ROF),Chi2/NDF,p-value (before ROF),p-value
10,22,f = (#1 * (((#1 * ((((#1 * #1) * #1) + #1) * (#1 + 7.4330883))) + #1) * 0.3935468)) + #1; g = -5.655779; p = [0.0015656799],3.03e+20/(x0*(3.03e-5*x0*(7.69e-5*x0 + 7.43)*(4.55e-13*x0**3 + 7.69e-5*x0) + 3.03e-5*x0) + x0)**5.66,a6*(x0*(a3*x0*(a2*x0**3 + a4*x0)*(a4*x0 + a5) + a3*x0) + x0)**a1,"{'a1': -5.66, 'a2': 4.55e-13, 'a3': 3.03e-05, 'a4': 7.69e-05, 'a5': 7.43, 'a6': 3.03e+20}","{'a1': (-5.66, 0, 0), 'a2': (4.55e-13, 0, 0), 'a3': (2.90315e-05, 1.56e-06, -1.56e-06), 'a4': (7.69e-05, 0, 0), 'a5': (7.8163, 0.562, -0.562), 'a6': (2.96622e+20, 2.76e+18, -2.76e+18)}","{'a3, a5': -8.787776403453511e-07, 'a3, a6': 4284326536206.3115, 'a5, a6': -1.528946951212225e+18, 'a3, a3': 2.448790039843823e-12, 'a5, a5': 0.3160777337787326, 'a6, a6': 7.612952544133508e+36}","{'a3, a5': -1, 'a3, a6': 0.9951, 'a5, a6': -0.9857}",a6*(x0*(a3*x0*(a2*x0**3 + a4*x0)*(a4*x0 + a5) + a3*x0) + x0)**a1,0.03575,1.0,39,959.3,45.73,24.6,1.173,7.273999999999997e-176,0.2128
11,24,f = (((#1 + ((#1 * ((#1 * (#1 * #1)) + #1)) * ((#1 * 1.1679703) + 7.433081))) * #1) * 0.3934341) + #1; g = -5.652187; p = [0.0015775614],2.82e+20/(0.393*x0*(7.69e-5*x0*(8.98e-5*x0 + 7.43)*(4.55e-13*x0**3 + 7.69e-5*x0) + 7.69e-5*x0) + x0)**5.65,a7*(a5*x0*(a3*x0*(a2*x0**3 + a3*x0)*(a4*x0 + a6) + a3*x0) + x0)**a1,"{'a1': -5.65, 'a2': 4.55e-13, 'a3': 7.69e-05, 'a4': 8.98e-05, 'a5': 0.393, 'a6': 7.43, 'a7': 2.82e+20}","{'a1': (-5.65, 0, 0), 'a2': (4.55e-13, 0, 0), 'a3': (7.69e-05, 0, 0), 'a4': (8.98e-05, 0, 0), 'a5': (0.40515, 0.0209, -0.0209), 'a6': (7.16935, 0.507, -0.507), 'a7': (2.79392e+20, 2.64e+18, -2.64e+18)}","{'a5, a6': -0.01056172798546536, 'a5, a7': 5.472024910590873e+16, 'a6, a7': -1.3184128943651082e+18, 'a5, a5': 0.00043587733738634563, 'a6, a6': 0.2565488436052721, 'a7, a7': 6.973351191632643e+36}","{'a5, a6': -0.9967, 'a5, a7': 0.9917, 'a6, a7': -0.985}",a7*(a5*x0*(a3*x0*(a2*x0**3 + a3*x0)*(a4*x0 + a6) + a3*x0) + x0)**a1,0.03552,1.0,39,1867.0,45.48,47.87,1.166,0.0,0.2202
12,26,f = #1 + (((#1 + ((#1 * 7.43384) * (#1 + ((((#1 * #1) * #1) + #1) * (#1 * #1))))) * 0.4126085) * #1); g = -5.6358924; p = [0.0016613869],2.64e+20/(x0*(0.000236*x0*(5.92e-9*x0**2*(4.55e-13*x0**3 + 7.69e-5*x0) + 7.69e-5*x0) + 3.17e-5*x0) + x0)**5.64,a7*(x0*(a4*x0 + a6*x0*(a3*x0**2*(a2*x0**3 + a5*x0) + a5*x0)) + x0)**a1,"{'a1': -5.64, 'a2': 4.55e-13, 'a3': 5.92e-09, 'a4': 3.17e-05, 'a5': 7.69e-05, 'a6': 0.000236, 'a7': 2.64e+20}","{'a1': (-5.64, 0, 0), 'a2': (4.55e-13, 0, 0), 'a3': (5.92e-09, 0, 0), 'a4': (3.08548e-05, 1.33e-06, -1.33e-06), 'a5': (7.69e-05, 0, 0), 'a6': (0.000236736, 3.15e-06, -3.15e-06), 'a7': (2.61039e+20, 2.13e+18, -2.13e+18)}","{'a4, a6': -4.0798210147698854e-12, 'a4, a7': 2822695252079.888, 'a6, a7': -6259278883513.492, 'a4, a4': 1.7817207290485798e-12, 'a6, a6': 9.912795450928038e-12, 'a7, a7': 4.556286156023498e+36}","{'a4, a6': -0.9738, 'a4, a7': 0.9964, 'a6, a7': -0.9329}",a7*(x0*(a4*x0 + a6*x0*(a3*x0**2*(a2*x0**3 + a5*x0) + a5*x0)) + x0)**a1,0.03548,1.0,39,179.6,42.64,4.604,1.093,6.271e-20,0.3175
13,28,f = ((((((#1 * ((((#1 * #1) * (#1 * 1.2657217)) + #1) * #1)) + #1) * #1) * 7.4338403) + #1) * (#1 * 0.4126327)) + #1; g = -5.635317; p = [0.0016633321],2.54e+20/(0.413*x0*(0.000572*x0*(5.92e-9*x0**2*(5.76e-13*x0**3 + 7.69e-5*x0) + 7.69e-5*x0) + 7.69e-5*x0) + x0)**5.64,a7*(a6*x0*(a4*x0 + a5*x0*(a3*x0**2*(a2*x0**3 + a4*x0) + a4*x0)) + x0)**a1,"{'a1': -5.64, 'a2': 5.76e-13, 'a3': 5.92e-09, 'a4': 7.69e-05, 'a5': 0.000572, 'a6': 0.413, 'a7': 2.54e+20}","{'a1': (-5.64, 0, 0), 'a2': (5.76e-13, 0, 0), 'a3': (5.92e-09, 0, 0), 'a4': (7.69e-05, 0, 0), 'a5': (0.000573849, 3.16e-05, -3.16e-05), 'a6': (0.409393, 0.0172, -0.0172), 'a7': (2.61919e+20, 2.13e+18, -2.13e+18)}","{'a5, a6': -5.427769212039176e-07, 'a5, a7': -65885162378837.13, 'a6, a7': 3.62581744488366e+16, 'a5, a5': 9.971040085253033e-10, 'a6, a6': 0.0002964678195715919, 'a7, a7': 4.5187787342402686e+36}","{'a5, a6': -0.9986, 'a5, a7': -0.9789, 'a6, a7': 0.9897}",a7*(a6*x0*(a4*x0 + a5*x0*(a3*x0**2*(a2*x0**3 + a4*x0) + a4*x0)) + x0)**a1,0.03678,1.0,39,7824.0,42.48,200.6,1.089,0.0,0.3236
14,30,f = (((((((#1 * #1) * (((#1 * 3.022381) * ((#1 * #1) * #1)) + #1)) + #1) * (#1 * 7.4338408)) + #1) * #1) * 0.41263217) + #1; g = -5.635805; p = [0.0016615635],2.55e+20/(0.413*x0*(0.000572*x0*(5.92e-9*x0**2*(1.06e-16*x0**4 + 7.69e-5*x0) + 7.69e-5*x0) + 7.69e-5*x0) + x0)**5.64,a7*(a6*x0*(a4*x0 + a5*x0*(a3*x0**2*(a2*x0**4 + a4*x0) + a4*x0)) + x0)**a1,"{'a1': -5.64, 'a2': 1.06e-16, 'a3': 5.92e-09, 'a4': 7.69e-05, 'a5': 0.000572, 'a6': 0.413, 'a7': 2.55e+20}","{'a1': (-5.64, 0, 0), 'a2': (1.06e-16, 0, 0), 'a3': (5.92e-09, 0, 0), 'a4': (7.69e-05, 0, 0), 'a5': (0.00057743, 3.15e-05, -3.15e-05), 'a6': (0.408045, 0.017, -0.017), 'a7': (2.61876e+20, 2.1e+18, -2.1e+18)}","{'a5, a6': -5.362956057832366e-07, 'a5, a7': -65035437031858.36, 'a6, a7': 3.5484478765296036e+16, 'a5, a5': 9.936510784214594e-10, 'a6, a6': 0.0002904277118866256, 'a7, a7': 4.4182484934170157e+36}","{'a5, a6': -1, 'a5, a7': -0.9832, 'a6, a7': 0.994}",a7*(a6*x0*(a4*x0 + a5*x0*(a3*x0**2*(a2*x0**4 + a4*x0) + a4*x0)) + x0)**a1,0.03736,1.0,39,6138.0,41.57,157.4,1.066,0.0,0.3593
15,32,f = ((#1 * ((((((((#1 * #1) * (#1 * #1)) * (#1 * 7.4338408)) + #1) * (#1 * #1)) + #1) * (#1 * 7.4338408)) + #1)) * 0.41263217) + #1; g = -5.6358047; p = [0.0016614585],2.55e+20/(0.413*x0*(0.000572*x0*(5.92e-9*x0**2*(2.0e-20*x0**5 + 7.69e-5*x0) + 7.69e-5*x0) + 7.69e-5*x0) + x0)**5.64,a7*(a6*x0*(a4*x0 + a5*x0*(a3*x0**2*(a2*x0**5 + a4*x0) + a4*x0)) + x0)**a1,"{'a1': -5.64, 'a2': 2e-20, 'a3': 5.92e-09, 'a4': 7.69e-05, 'a5': 0.000572, 'a6': 0.413, 'a7': 2.55e+20}","{'a1': (-5.64, 0, 0), 'a2': (2.0000000000000002e-20, 0, 0), 'a3': (5.92e-09, 0, 0), 'a4': (7.69e-05, 0, 0), 'a5': (0.00057826, 3.16e-05, -3.16e-05), 'a6': (0.407912, 0.017, -0.017), 'a7': (2.61928e+20, 2.1e+18, -2.1e+18)}","{'a5, a6': -5.370977765256392e-07, 'a5, a7': -65126236281690.78, 'a6, a7': 3.5477735908249676e+16, 'a5, a5': 9.967053856289958e-10, 'a6, a6': 0.0002904026653106192, 'a7, a7': 4.417003112436634e+36}","{'a5, a6': -0.9998, 'a5, a7': -0.9814, 'a6, a7': 0.9938}",a7*(a6*x0*(a4*x0 + a5*x0*(a3*x0**2*(a2*x0**5 + a4*x0) + a4*x0)) + x0)**a1,0.03795,1.0,39,6112.0,41.54,156.7,1.065,0.0,0.3607
16,34,f = ((#1 + (#1 * (((#1 * ((#1 + (((#1 * #1) * #1) * ((#1 * 7.4338408) * #1))) * #1)) + (#1 + 0.0012302314)) * 7.4338408))) * (#1 * 0.41264728)) + #1; g = -5.6351566; p = [0.0016679325],2.54e+20/(0.413*x0*(7.69e-5*x0*(4.4e-8*x0**2*(2.0e-20*x0**5 + 7.69e-5*x0) + 0.000572*x0 + 0.00915) + 7.69e-5*x0) + x0)**5.64,a8*(a7*x0*(a4*x0*(a3*x0**2*(a2*x0**5 + a4*x0) + a5*x0 + a6) + a4*x0) + x0)**a1,"{'a1': -5.64, 'a2': 2e-20, 'a3': 4.4e-08, 'a4': 7.69e-05, 'a5': 0.000572, 'a6': 0.00915, 'a7': 0.413, 'a8': 2.54e+20}","{'a1': (-5.64, 0, 0), 'a2': (2.0000000000000002e-20, 0, 0), 'a3': (4.4e-08, 0, 0), 'a4': (7.64229e-05, 6.89e-06, -6.89e-06), 'a5': (0.000572, 0, 0), 'a6': (0.00915, 0, 0), 'a7': (0.413139, 0.0393, -0.0393), 'a8': (2.62736e+20, 7.33e+17, -7.33e+17)}","{'a4, a7': -2.7063911809956403e-07, 'a4, a8': -4209939715836.5503, 'a7, a8': 2.438658828730293e+16, 'a4, a4': 4.748553837687573e-11, 'a7, a7': 0.0015434853116839161, 'a8, a8': 5.378342107509645e+35}","{'a4, a7': -0.9995, 'a4, a8': -0.8336, 'a7, a8': 0.8466}",a8*(a7*x0*(a4*x0*(a3*x0**2*(a2*x0**5 + a4*x0) + a5*x0 + a6) + a4*x0) + x0)**a1,0.0403,1.0,39,8924.0,41.67,228.8,1.069,0.0,0.3552
17,36,f = #1 + ((((#1 * (((#1 + ((((#1 + -0.019916177) * (((#1 * #1) * 7.4338408) * (#1 * #1))) + #1) * (#1 * #1))) + 0.0012465444) * 7.433841)) + #1) * #1) * 0.41265413); g = -5.635078; p = [0.0016682178],2.54e+20/(0.413*x0*(7.69e-5*x0*(4.4e-8*x0**2*(2.6e-16*x0**4*(7.69e-5*x0 - 0.0199) + 7.69e-5*x0) + 0.000572*x0 + 0.00927) + 7.69e-5*x0) + x0)**5.64,a9*(a8*x0*(a5*x0*(a4*x0**2*(a3*x0**4*(a2 + a5*x0) + a5*x0) + a6*x0 + a7) + a5*x0) + x0)**a1,"{'a1': -5.64, 'a2': -0.0199, 'a3': 2.6e-16, 'a4': 4.4e-08, 'a5': 7.69e-05, 'a6': 0.000572, 'a7': 0.00927, 'a8': 0.413, 'a9': 2.54e+20}","{'a1': (-5.64, 0, 0), 'a2': (-0.0199, 0, 0), 'a3': (2.6e-16, 0, 0), 'a4': (4.4e-08, 0, 0), 'a5': (7.6729e-05, 5.47e-06, -5.47e-06), 'a6': (0.000572, 0, 0), 'a7': (0.00927, 0, 0), 'a8': (0.411471, 0.031, -0.031), 'a9': (2.62743e+20, 6.58e+17, -6.58e+17)}","{'a5, a8': -1.6947439140739597e-07, 'a5, a9': -2833077941506.8174, 'a8, a9': 1.645739013663623e+16, 'a5, a5': 2.98823363031568e-11, 'a8, a8': 0.0009621492771438784, 'a9, a9': 4.3278896221434915e+35}","{'a5, a8': -0.9994, 'a5, a9': -0.7871, 'a8, a9': 0.8068}",a9*(a8*x0*(a5*x0*(a4*x0**2*(a3*x0**4*(a2 + a5*x0) + a5*x0) + a6*x0 + a7) + a5*x0) + x0)**a1,0.04041,1.0,39,8937.0,41.56,229.1,1.066,0.0,0.3598
18,38,f = (#1 * ((#1 + (#1 * (((#1 + ((#1 + ((#1 * #1) * (#1 * ((((#1 + #1) * #1) * 7.4338408) * #1)))) * (#1 * #1))) + 0.0011955114) * 7.4338408))) * 0.41263336)) + #1; g = -5.635775; p = [0.0016657887],2.66e+20/(x0*(3.17e-5*x0*(4.4e-8*x0**2*(3.08e-24*x0**6 + 7.69e-5*x0) + 0.000572*x0 + 0.00889) + 3.17e-5*x0) + x0)**5.64,a8*(x0*(a4*x0*(a3*x0**2*(a2*x0**6 + a5*x0) + a6*x0 + a7) + a4*x0) + x0)**a1,"{'a1': -5.64, 'a2': 3.08e-24, 'a3': 4.4e-08, 'a4': 3.17e-05, 'a5': 7.69e-05, 'a6': 0.000572, 'a7': 0.00889, 'a8': 2.66e+20}","{'a1': (-5.64, 0, 0), 'a2': (3.08e-24, 0, 0), 'a3': (4.4e-08, 0, 0), 'a4': (3.17e-05, 0, 0), 'a5': (7.88417e-05, 7.1e-06, -7.1e-06), 'a6': (0.000568227, 4.58e-06, -4.58e-06), 'a7': (0.00889, 0, 0), 'a8': (2.6287e+20, 5.13e+17, -5.13e+17)}","{'a5, a6': -2.9340640604404285e-11, 'a5, a8': -2929128573480.344, 'a6, a8': 2267372291131.628, 'a5, a5': 5.044990489393001e-11, 'a6, a6': 2.0960202796305254e-11, 'a8, a8': 2.6302513209257903e+35}","{'a5, a6': -0.9023, 'a5, a8': -0.8042, 'a6, a8': 0.965}",a8*(x0*(a4*x0*(a3*x0**2*(a2*x0**6 + a5*x0) + a6*x0 + a7) + a4*x0) + x0)**a1,0.04068,1.0,39,698.7,42.01,17.92,1.077,8.094999999999996e-122,0.342
19,40,f = (((#1 * (((((#1 * (#1 + ((#1 * (((((#1 + #1) * #1) * #1) * (#1 * 7.4338408)) + 0.042544622)) * #1))) * #1) + #1) + 0.0012289119) * 7.4338408)) + #1) * (#1 * 0.41264665)) + #1; g = -5.635177; p = [0.001667885],2.54e+20/(0.413*x0*(7.69e-5*x0*(4.4e-8*x0**2*(5.92e-9*x0**2*(5.21e-16*x0**4 + 0.0425) + 7.69e-5*x0) + 0.000572*x0 + 0.00914) + 7.69e-5*x0) + x0)**5.64,a10*(a9*x0*(a5*x0*(a4*x0**2*(a3*x0**2*(a2*x0**4 + a8) + a5*x0) + a6*x0 + a7) + a5*x0) + x0)**a1,"{'a1': -5.64, 'a2': 5.21e-16, 'a3': 5.92e-09, 'a4': 4.4e-08, 'a5': 7.69e-05, 'a6': 0.000572, 'a7': 0.00914, 'a8': 0.0425, 'a9': 0.413, 'a10': 2.54e+20}","{'a1': (-5.64, 0, 0), 'a2': (5.21e-16, 0, 0), 'a3': (5.92e-09, 0, 0), 'a4': (4.4e-08, 0, 0), 'a5': (7.77126e-05, 6.94e-06, -6.94e-06), 'a6': (0.000572, 0, 0), 'a7': (0.00914, 0, 0), 'a8': (0.0425, 0, 0), 'a9': (0.406031, 0.0383, -0.0383), 'a10': (2.62672e+20, 7.37e+17, -7.37e+17)}","{'a5, a9': -2.6566736387648835e-07, 'a5, a10': -4264555557282.979, 'a9, a10': 2.3898145634758404e+16, 'a5, a5': 4.8190228952493635e-11, 'a9, a9': 0.0014655714847557353, 'a10, a10': 5.4292481309155894e+35}","{'a5, a9': -0.9995, 'a5, a10': -0.8338, 'a9, a10': 0.8466}",a10*(a9*x0*(a5*x0*(a4*x0**2*(a3*x0**2*(a2*x0**4 + a8) + a5*x0) + a6*x0 + a7) + a5*x0) + x0)**a1,0.04013,1.0,39,8929.0,41.96,228.9,1.076,0.0,0.3437
